max_iters,n_embd,n_head,block_size,n_layer,device,dataset,activation_variant,softmax_variant_attn,norm_variant_attn,Val_loss,Training_time (min)
20000,128,1,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.8201,14.45
20000,128,1,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.6222,18.97
20000,128,1,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.4798,27.99
20000,128,1,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.3443,46.59
20000,128,2,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.7986,14.54
20000,128,2,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.5967,19.15
20000,128,2,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.4423,28.06
20000,128,2,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.3147,46.57
20000,128,4,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.7808,14.42
20000,128,4,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.5838,19.27
20000,128,4,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.4239,28.1
20000,128,4,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.3033,46.51
20000,128,8,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.7829,14.47
20000,128,8,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.5861,19.22
20000,128,8,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.424,28.08
20000,128,8,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.3035,46.94
20000,192,1,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.708,21.27
20000,192,1,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.4893,20.17
20000,192,1,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.319,32.79
20000,192,1,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.1708,54.15
20000,192,2,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.6861,15.38
20000,192,2,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.461,20.17
20000,192,2,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.2989,31.37
20000,192,2,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.1412,54.16
20000,192,3,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.6747,15.36
20000,192,3,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.4545,20.11
20000,192,3,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.2914,31.38
20000,192,3,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.1282,54.07
20000,192,4,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.6705,15.16
20000,192,4,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.4446,20.02
20000,192,4,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.2767,31.36
20000,192,4,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.1185,54.47
20000,192,6,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.6696,15.24
20000,192,6,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.4413,20.22
20000,192,6,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.2674,31.27
20000,192,6,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.1184,54.17
20000,192,8,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.6677,15.1
20000,192,8,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.4333,20.17
20000,192,8,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.2663,31.46
20000,192,8,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.1162,54.85
20000,192,12,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.675,15.25
20000,192,12,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.4335,20.15
20000,192,12,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.2769,31.74
20000,192,12,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.1133,55.69
20000,256,1,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.6439,17.11
20000,256,1,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.4144,22.06
20000,256,1,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.2018,33.98
20000,256,1,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.0565,60.12
20000,256,2,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.6229,16.65
20000,256,2,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.3961,21.95
20000,256,2,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.1766,34.24
20000,256,2,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.0346,59.93
20000,256,4,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.6268,16.83
20000,256,4,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.386,22.03
20000,256,4,256,6,cuda,openwebtext,relu,softmax,rmsnorm,4.1677,33.88
20000,256,4,512,6,cuda,openwebtext,relu,softmax,rmsnorm,4.0139,59.91
20000,256,8,64,6,cuda,openwebtext,relu,softmax,rmsnorm,4.6139,16.68
20000,256,8,128,6,cuda,openwebtext,relu,softmax,rmsnorm,4.3742,21.77
