,Gbus Width,n_embed,n_heads,n_cols,head_dim,max_context_length,n_layers,core_wmem_size,core_cache_size,total_wmem_size,total_cache_size,clk_period,clk_min_period,slack,Wmem Depth,Cache Depth,Max Context Length,Total MAC Num,Total Param Num,Power(mW),Area(um^2),Token Delay(us),Token Per Second,Energy per Token(uJ),val_loss,Perplexity,Next Token Accuracy
0,64,128,1,1,128,64,6,16384.0,8192.0,16384.0,8192.0,5.0,3.979,0.811,2048,1024,64,8,196608,1.89,7924396.374393,6.020067840000001,166111.0848877078,0.011377928217600001,4.8201,123.97748790874802,0.008065980500718297
1,128,128,1,1,128,64,6,16384.0,8192.0,16384.0,8192.0,5.0,3.841,0.957,1024,512,64,16,196608,2.04,8308384.649594,5.5044910080000005,181669.83987195932,0.01122916165632,4.8201,123.97748790874802,0.008065980500718297
2,32,128,1,2,128,64,6,8192.0,4096.0,16384.0,8192.0,5.0,3.626,1.183,2048,1024,64,8,196608,1.892,7940653.216002,5.485992960000001,182282.40672040524,0.010379498680320001,4.8201,123.97748790874802,0.008065980500718297
3,64,128,1,2,128,64,6,8192.0,4096.0,16384.0,8192.0,5.0,3.834,0.964,1024,512,64,16,196608,2.14,8364434.656,5.494459392,182001.52711220545,0.011758143098880002,4.8201,123.97748790874802,0.008065980500718297
4,128,128,1,2,128,64,6,8192.0,8192.0,16384.0,16384.0,5.0,3.841,0.957,512,512,64,32,196608,3.06,11642168.262406,5.3510968320000005,186877.5750832834,0.016374356305920004,4.8201,123.97748790874802,0.008065980500718297
5,16,128,1,4,128,64,6,4096.0,2048.0,16384.0,8192.0,5.0,3.734,1.069,2048,1024,64,8,196608,1.908,8067622.489596,5.64939264,177010.17856673527,0.01077904115712,4.8201,123.97748790874802,0.008065980500718297
6,32,128,1,4,128,64,6,4096.0,2048.0,16384.0,8192.0,5.0,4.022,0.766,1024,512,64,16,196608,2.132,8425770.982396,5.763879936000001,173494.2453874181,0.012288592023552003,4.8201,123.97748790874802,0.008065980500718297
7,64,128,1,4,128,64,6,4096.0,4096.0,16384.0,16384.0,5.0,3.845,0.953,512,512,64,32,196608,3.208,11734714.521596,5.35666944,186683.16408189636,0.017184195563520004,4.8201,123.97748790874802,0.008065980500718297
8,128,128,1,4,128,64,6,8192.0,4096.0,32768.0,16384.0,5.0,3.716,1.089,512,256,64,64,196608,5.08,18388415.948808,5.102751744000001,195972.69280752997,0.025921978859520002,4.8201,123.97748790874802,0.008065980500718297
9,16,128,1,8,128,64,6,2048.0,1024.0,16384.0,8192.0,5.0,3.719,1.085,1024,512,64,16,196608,2.176,8624761.830392,5.329654272,187629.4312848066,0.011597327695872,4.8201,123.97748790874802,0.008065980500718297
10,32,128,1,8,128,64,6,2048.0,2048.0,16384.0,16384.0,5.0,4.129,0.654,512,512,64,32,196608,3.192,11802159.206392,5.7523246079999995,173842.76238675023,0.018361420148736,4.8201,123.97748790874802,0.008065980500718297
11,64,128,1,8,128,64,6,4096.0,2048.0,32768.0,16384.0,5.0,3.948,0.844,512,256,64,64,196608,5.4,18565816.089592,5.421330432000001,184456.566989053,0.02927518433280001,4.8201,123.97748790874802,0.008065980500718297
12,128,128,1,8,128,64,6,4096.0,2048.0,32768.0,16384.0,5.0,4.006,0.784,256,128,64,128,196608,6.68,21888532.838392,5.460979200000001,183117.34276519492,0.036479341056,4.8201,123.97748790874802,0.008065980500718297
13,16,128,1,16,128,64,6,1024.0,1024.0,16384.0,16384.0,5.0,3.75,1.053,512,512,64,32,196608,3.28,12300657.3056,5.224320000000001,191412.47090530436,0.017135769600000003,4.8201,123.97748790874802,0.008065980500718297
14,32,128,1,16,128,64,6,2048.0,1024.0,32768.0,16384.0,5.0,3.802,0.997,512,256,64,64,196608,5.36,18813243.391984,5.220845568000001,191539.85441156794,0.02798373224448001,4.8201,123.97748790874802,0.008065980500718297
15,64,128,1,16,128,64,6,2048.0,1024.0,32768.0,16384.0,5.0,3.558,1.255,256,128,64,128,196608,7.392,22293681.407984,4.850265599999999,206174.27631179625,0.0358531633152,4.8201,123.97748790874802,0.008065980500718297
16,16,128,1,32,128,64,6,1024.0,512.0,32768.0,16384.0,5.0,3.723,1.081,512,256,64,64,196608,5.568,19591429.7344,5.112364032000001,195604.22413988216,0.028465642930176005,4.8201,123.97748790874802,0.008065980500718297
17,32,128,1,32,128,64,6,1024.0,512.0,32768.0,16384.0,5.0,3.564,1.249,256,128,64,128,196608,7.392,22717788.16,4.858444800000001,205827.18157053052,0.03591362396160001,4.8201,123.97748790874802,0.008065980500718297
18,64,128,1,1,128,128,6,16384.0,16384.0,16384.0,16384.0,5.0,3.997,0.793,2048,2048,128,8,196608,2.44,10415996.015992,8.159251968000001,122560.25477849293,0.019908574801920004,4.6222,101.71756479600559,0.009831143736143294
19,128,128,1,1,128,128,6,16384.0,16384.0,16384.0,16384.0,5.0,3.792,1.008,1024,1024,128,16,196608,2.59,10824280.092793,7.414603776000001,134868.97347594693,0.01920382377984,4.6222,101.71756479600559,0.009831143736143294
20,32,128,1,2,128,128,6,8192.0,8192.0,16384.0,16384.0,5.0,4.061,0.726,2048,2048,128,8,196608,2.44,10427548.345606,8.289897984000001,120628.74620774102,0.02022735108096,4.6222,101.71756479600559,0.009831143736143294
21,64,128,1,2,128,128,6,8192.0,8192.0,16384.0,16384.0,5.0,3.979,0.811,1024,1024,128,16,196608,2.66,10869967.660804,7.780250112,128530.57236008816,0.02069546529792,4.6222,101.71756479600559,0.009831143736143294
22,128,128,1,2,128,128,6,8192.0,8192.0,16384.0,16384.0,5.0,3.841,0.957,512,512,128,32,196608,3.06,11642168.262406,7.3452211200000015,136142.940241396,0.022476376627200003,4.6222,101.71756479600559,0.009831143736143294
23,16,128,1,4,128,128,6,4096.0,4096.0,16384.0,16384.0,5.0,3.887,0.909,2048,2048,128,8,196608,2.464,10573020.364796,7.934704128,126028.6437740253,0.019551110971391998,4.6222,101.71756479600559,0.009831143736143294
24,32,128,1,4,128,128,6,4096.0,4096.0,16384.0,16384.0,5.0,3.769,1.033,1024,1024,128,16,196608,2.676,10901885.772796,7.369631232000001,135691.99984632284,0.019721133176832002,4.6222,101.71756479600559,0.009831143736143294
25,64,128,1,4,128,128,6,4096.0,4096.0,16384.0,16384.0,5.0,3.845,0.953,512,512,128,32,196608,3.208,11734714.521596,7.352870400000001,136001.30909420078,0.023588008243200006,4.6222,101.71756479600559,0.009831143736143294
26,128,128,1,4,128,128,6,8192.0,8192.0,32768.0,32768.0,5.0,3.841,0.957,512,512,128,64,196608,6.12,23284336.524812,7.262624256000001,137691.2758737108,0.04444726044672001,4.6222,101.71756479600559,0.009831143736143294
27,16,128,1,8,128,128,6,2048.0,2048.0,16384.0,16384.0,5.0,3.734,1.069,1024,1024,128,16,196608,2.712,11125370.111992,7.301194752000001,136963.8852224935,0.019800840167424002,4.6222,101.71756479600559,0.009831143736143294
28,32,128,1,8,128,128,6,2048.0,2048.0,16384.0,16384.0,5.0,4.129,0.654,512,512,128,32,196608,3.192,11802159.206392,7.89596928,126646.8959717128,0.02520393394176,4.6222,101.71756479600559,0.009831143736143294
29,64,128,1,8,128,128,6,4096.0,4096.0,32768.0,32768.0,5.0,3.845,0.953,512,512,128,64,196608,6.416,23469429.043192,7.27018752,137548.03397423233,0.04664552312832001,4.6222,101.71756479600559,0.009831143736143294
30,128,128,1,8,128,128,6,4096.0,4096.0,32768.0,32768.0,5.0,3.714,1.091,256,256,128,128,196608,8.08,26970596.940792,6.982557696,143213.9974400578,0.05641906618368,4.6222,101.71756479600559,0.009831143736143294
31,16,128,1,16,128,128,6,1024.0,1024.0,16384.0,16384.0,5.0,3.75,1.053,512,512,128,32,196608,3.28,12300657.3056,7.171200000000001,139446.67559125388,0.023521536000000003,4.6222,101.71756479600559,0.009831143736143294
32,32,128,1,16,128,128,6,2048.0,2048.0,32768.0,32768.0,5.0,4.129,0.654,512,512,128,64,196608,6.384,23604318.412784,7.807179264000001,128087.2343499451,0.049841032421376004,4.6222,101.71756479600559,0.009831143736143294
