,Gbus Width,n_embed,n_heads,n_cols,head_dim,max_context_length,ffn_ratio,n_layers,core_wmem_size,core_cache_size,total_wmem_size,total_cache_size,clk_period,clk_min_period,slack,Wmem Depth,Cache Depth,Max Context Length,Total MAC Num,Total Param Num,Power(mW),Area(um^2),Token Delay(us),Token Per Second,Energy per Token(uJ),val_loss,Perplexity,Next Token Accuracy
0,128,512.0,4.0,2,128,256.0,2.0,33.0,32768.0,16384.0,262144.0,131072.0,5.0,3.907,0.887,2048,1024,256.0,128.0,2097152.0,29.52,126263166.38804,79.14919372800001,12634.367488777558,2.3364841988505605,4.000126,54.60502983346672,0.01831333126361764
1,64,512.0,4.0,4,128,256.0,2.0,33.0,16384.0,8192.0,262144.0,131072.0,5.0,3.979,0.811,2048,1024,256.0,128.0,2097152.0,30.24,126790341.990288,97.81846272000001,10223.018969971397,2.9580303126528,4.000126,54.60502983346672,0.01831333126361764
2,128,512.0,4.0,4,128,256.0,2.0,33.0,16384.0,8192.0,262144.0,131072.0,5.0,3.841,0.957,1024,512,256.0,256.0,2097152.0,32.64,132934154.393504,76.35195110400002,13097.242251712552,2.492127684034561,4.000126,54.60502983346672,0.01831333126361764
3,32,512.0,4.0,8,128,256.0,2.0,33.0,8192.0,4096.0,262144.0,131072.0,5.0,3.626,1.183,2048,1024,256.0,128.0,2097152.0,30.272,127050451.456032,120.50805043199999,8298.200795840421,3.6480197026775034,4.000126,54.60502983346672,0.01831333126361764
4,64,512.0,4.0,8,128,256.0,2.0,33.0,8192.0,4096.0,262144.0,131072.0,5.0,3.834,0.964,1024,512,256.0,256.0,2097152.0,34.24,133830954.496,92.79629568,10776.29222882359,3.1773451640832,4.000126,54.60502983346672,0.01831333126361764
5,128,512.0,4.0,8,128,256.0,2.0,33.0,8192.0,8192.0,262144.0,262144.0,5.0,3.841,0.957,512,512,256.0,512.0,2097152.0,48.96,186274692.198496,75.62185382400001,13223.690632173199,3.7024459632230404,4.000126,54.60502983346672,0.01831333126361764
6,16,512.0,4.0,16,128,256.0,2.0,33.0,4096.0,2048.0,262144.0,131072.0,5.0,3.734,1.069,2048,1024,256.0,128.0,2097152.0,30.528,129081959.833536,188.701185024,5299.383784329784,5.760669776412672,4.000126,54.60502983346672,0.01831333126361764
7,32,512.0,4.0,16,128,256.0,2.0,33.0,4096.0,2048.0,262144.0,131072.0,5.0,4.022,0.766,1024,512,256.0,256.0,2097152.0,34.112,134812335.718336,132.139881984,7567.7379530358885,4.5075556542382085,4.000126,54.60502983346672,0.01831333126361764
8,64,512.0,4.0,16,128,256.0,2.0,33.0,4096.0,4096.0,262144.0,262144.0,5.0,3.845,0.953,512,512,256.0,512.0,2097152.0,51.328,187755432.345536,92.33167680000001,10830.519217863915,4.7392003067904005,4.000126,54.60502983346672,0.01831333126361764
9,16,512.0,4.0,32,128,256.0,2.0,33.0,2048.0,1024.0,262144.0,131072.0,5.0,3.719,1.085,1024,512,256.0,256.0,2097152.0,34.816,137996189.286272,186.52933094400004,5361.087154171055,6.494205186146306,4.000126,54.60502983346672,0.01831333126361764
