block_size,mlp_expansion_factor,n_embd,n_head,n_layer,num_params,best_val_loss,better_than_chance,btc_per_param
512,4,384,4,6,30117120.0,3.877431,1041.0,3.46e-05
768,4,384,4,6,30215424.0,3.819411,1103.0,3.65e-05
1024,4,384,4,6,30313728.0,3.745688,1187.0,3.92e-05
512,4,512,4,6,44874752.0,3.753807,1177.0,2.62e-05
768,4,512,4,6,45005824.0,6.317073,90.72,2.02e-06
512,4,768,4,6,81467904.0,3.704662,1237.0,1.52e-05
768,4,768,4,6,81664512.0,3.572414,1412.0,1.73e-05
1024,4,768,4,6,81861120.0,3.493174,1528.0,1.87e-05
512,4,384,8,6,30117120.0,3.888406,1029.0,3.42e-05
768,4,384,8,6,30215424.0,3.797271,1127.0,3.73e-05
1024,4,384,8,6,30313728.0,3.727653,1209.0,3.99e-05
512,4,512,8,6,44874752.0,3.794827,1130.0,2.52e-05
768,4,512,8,6,45005824.0,3.651656,1304.0,2.9e-05
1024,4,512,8,6,45136896.0,3.643549,1315.0,2.91e-05
512,4,768,8,6,81467904.0,3.63501,1326.0,1.63e-05
768,4,768,8,6,81664512.0,3.551485,1441.0,1.77e-05
1024,4,768,8,6,81861120.0,3.524652,1481.0,1.81e-05
512,4,384,16,6,30117120.0,3.892302,1025.0,3.4e-05
768,4,384,16,6,30215424.0,3.801242,1123.0,3.72e-05
1024,4,384,16,6,30313728.0,3.743846,1189.0,3.92e-05
512,4,512,16,6,44874752.0,3.793834,1131.0,2.52e-05
768,4,512,16,6,45005824.0,3.684371,1262.0,2.8e-05
1024,4,512,16,6,45136896.0,3.632564,1329.0,2.95e-05
512,4,768,16,6,81467904.0,3.624512,1340.0,1.65e-05
768,4,768,16,6,81664512.0,3.513834,1497.0,1.83e-05
256,6,384,4,32,94919424.0,3.900489,,
256,6,384,6,32,94919424.0,3.903256178,,
256,6,384,8,32,94919424.0,3.909883,,
256,6,384,12,32,94919424.0,3.907950401,,
1024,2,1024,4,5,94466048.0,5.796352,,
1024,2,1024,8,5,94466048.0,3.656021,,
1024,8,1024,4,2,94459904.0,3.60069,,
1024,8,1024,8,2,94459904.0,3.567296,,
512,4,1024,1,3,89743360.0,11.05483,,
256,6,384,2,32,94919424.0,4.068704,,
256,6,384,16,32,94919424.0,3.937401,,
1024,8,1024,2,2,94459904.0,3.730357,,
1024,8,1024,16,2,94459904.0,3.582684,,
1024,2,1024,2,5,94466048.0,3.908157,,
1024,2,1024,16,5,94466048.0,3.510072,,
