,max_iters,n_embd,n_head,block_size,n_layer,device,dataset,activation_variant,softmax_variant_attn,norm_variant_attn,mlp_expansion_factor,val_loss,忽略,忽略.1,忽略.2,training_time_(min)
12,20000,384,8,512,6,cuda,openwebtext,gelu,relumax,krmsnorm,1,3.9732,20,0,1.581 hr,94.86
13,20000,384,8,512,6,cuda,openwebtext,gelu,relumax,krmsnorm,2,3.9003,20,0,1.604 hr,96.24000000000001
14,20000,384,8,512,6,cuda,openwebtext,gelu,relumax,krmsnorm,3,3.8624,20,0,1.62 hr,97.2
15,20000,384,8,512,6,cuda,openwebtext,gelu,relumax,krmsnorm,4,3.8437,20,0,1.638 hr,98.28
16,20000,384,8,512,6,cuda,openwebtext,gelu,relumax,layernorm,1,4.0224,20,0,1.528 hr,91.68
17,20000,384,8,512,6,cuda,openwebtext,gelu,relumax,layernorm,2,3.9176,20,0,1.548 hr,92.88
18,20000,384,8,512,6,cuda,openwebtext,gelu,relumax,layernorm,3,3.8915,20,0,1.565 hr,93.89999999999999
19,20000,384,8,512,6,cuda,openwebtext,gelu,relumax,layernorm,4,3.9221,20,0,1.583 hr,94.98
20,20000,384,8,512,6,cuda,openwebtext,gelu,relumax,rmsnorm,1,3.9978,20,0,1.611 hr,96.66
21,20000,384,8,512,6,cuda,openwebtext,gelu,relumax,rmsnorm,2,3.9186,20,0,1.631 hr,97.86
22,20000,384,8,512,6,cuda,openwebtext,gelu,relumax,rmsnorm,3,3.8978,20,0,1.651 hr,99.06
23,20000,384,8,512,6,cuda,openwebtext,gelu,relumax,rmsnorm,4,3.9009,20,0,1.667 hr,100.02
24,20000,384,8,512,6,cuda,openwebtext,gelu,softermax,krmsnorm,1,3.987,20,0,2.276 hr,136.56
25,20000,384,8,512,6,cuda,openwebtext,gelu,softermax,krmsnorm,2,3.9119,20,0,2.295 hr,137.7
26,20000,384,8,512,6,cuda,openwebtext,gelu,softermax,krmsnorm,3,3.9103,20,0,2.313 hr,138.78
29,20000,384,8,512,6,cuda,openwebtext,gelu,softermax,layernorm,2,3.9362,20,0,2.24 hr,134.4
31,20000,384,8,512,6,cuda,openwebtext,gelu,softermax,layernorm,4,3.8601,20,0,2.277 hr,136.62
36,20000,384,8,512,6,cuda,openwebtext,gelu,softmax,krmsnorm,1,3.9909,20,0,1.259 hr,75.53999999999999
37,20000,384,8,512,6,cuda,openwebtext,gelu,softmax,krmsnorm,2,3.9334,20,0,1.251 hr,75.05999999999999
38,20000,384,8,512,6,cuda,openwebtext,gelu,softmax,krmsnorm,3,3.9114,20,0,1.27 hr,76.2
39,20000,384,8,512,6,cuda,openwebtext,gelu,softmax,krmsnorm,4,3.902,20,0,1.291 hr,77.46
40,20000,384,8,512,6,cuda,openwebtext,gelu,softmax,layernorm,1,3.983,20,0,1.212 hr,72.72
41,20000,384,8,512,6,cuda,openwebtext,gelu,softmax,layernorm,2,3.9123,20,0,1.196 hr,71.75999999999999
42,20000,384,8,512,6,cuda,openwebtext,gelu,softmax,layernorm,3,3.8878,20,0,1.216 hr,72.96
43,20000,384,8,512,6,cuda,openwebtext,gelu,softmax,layernorm,4,3.848,20,0,1.234 hr,74.03999999999999
44,20000,384,8,512,6,cuda,openwebtext,gelu,softmax,rmsnorm,1,3.9814,20,0,1.297 hr,77.82
45,20000,384,8,512,6,cuda,openwebtext,gelu,softmax,rmsnorm,2,3.9371,20,0,1.277 hr,76.61999999999999
46,20000,384,8,512,6,cuda,openwebtext,gelu,softmax,rmsnorm,3,3.884,20,0,1.299 hr,77.94
47,20000,384,8,512,6,cuda,openwebtext,gelu,softmax,rmsnorm,4,3.8957,20,0,1.314 hr,78.84
60,20000,384,8,512,6,cuda,openwebtext,relu,relumax,krmsnorm,1,4.0191,20,0,1.585 hr,95.1
61,20000,384,8,512,6,cuda,openwebtext,relu,relumax,krmsnorm,2,4.0158,20,0,1.599 hr,95.94
