,Gbus Width,n_embed,n_heads,n_cols,head_fim,core_wmem_size,core_cache_size,total_wmem_size,total_cache_size,Wmem Depth,Cache Depth,Max Context Length,Total MAC Num,Power(mW),Area(um^2),Token Delay(s),Token Per Second,Energy per Token(mJ)
0,16,128,1,4,128,4096.0,2048.0,16384.0,8192.0,2048,1024,64,8,1.592,8067622.489596,0.0002282057142857143,4382.011217948718,0.0003633034971428572
1,16,128,1,4,128,4096.0,4096.0,16384.0,16384.0,2048,2048,128,8,2.056,10573020.364796,0.00024576000000000003,4069.010416666666,0.0005052825600000001
2,16,128,1,8,128,2048.0,1024.0,16384.0,8192.0,1024,512,64,16,1.816,8624761.830392,0.00011410285714285715,8764.022435897436,0.0002072107885714286
3,16,128,1,8,128,2048.0,2048.0,16384.0,16384.0,1024,1024,128,16,2.264,11125370.111992,0.00012288000000000002,8138.020833333332,0.00027820032
4,16,128,1,8,128,2048.0,3072.0,16384.0,24576.0,1024,1536,192,16,2.72,13614517.401592,0.00013165714285714287,7595.48611111111,0.00035810742857142865
5,16,128,1,8,128,2048.0,4096.0,16384.0,32768.0,1024,2048,256,16,3.184,16120901.222392,0.00014043428571428572,7120.768229166667,0.00044714276571428574
6,16,128,1,16,128,1024.0,1024.0,16384.0,16384.0,512,512,64,32,2.736,12300657.3056,5.7051428571428576e-05,17528.04487179487,0.0001560927085714286
7,16,128,1,16,128,1024.0,1024.0,16384.0,16384.0,512,512,128,32,2.736,12300657.3056,6.144000000000001e-05,16276.041666666664,0.00016809984000000004
8,16,128,1,16,128,1024.0,2048.0,16384.0,32768.0,512,1024,192,32,3.632,17271544.780784,6.582857142857143e-05,15190.97222222222,0.00023908937142857147
9,16,128,1,16,128,1024.0,2048.0,16384.0,32768.0,512,1024,256,32,3.632,17271544.780784,7.021714285714286e-05,14241.536458333334,0.00025502866285714284
10,16,128,1,16,128,1024.0,4096.0,16384.0,65536.0,512,2048,512,32,5.504,27294897.971184,8.777142857142857e-05,11393.229166666666,0.0004830939428571428
11,16,128,2,2,64,4096.0,2048.0,16384.0,8192.0,2048,1024,64,8,1.592,8067622.489596,0.0002282057142857143,4382.011217948718,0.0003633034971428572
12,16,128,2,2,64,4096.0,4096.0,16384.0,16384.0,2048,2048,128,8,2.056,10573020.364796,0.00024576000000000003,4069.010416666666,0.0005052825600000001
13,16,128,2,4,64,2048.0,1024.0,16384.0,8192.0,1024,512,64,16,1.816,8624761.830392,0.00011410285714285715,8764.022435897436,0.0002072107885714286
14,16,128,2,4,64,2048.0,2048.0,16384.0,16384.0,1024,1024,128,16,2.264,11125370.111992,0.00012288000000000002,8138.020833333332,0.00027820032
