,Gbus Width,n_embed,n_heads,n_cols,head_fim,max_context_length,core_wmem_size,core_cache_size,total_wmem_size,total_cache_size,clk_period,clk_min_period,slack,Wmem Depth,Cache Depth,Max Context Length,Total MAC Num,Power(mW),Area(um^2),Token Delay(ms),Token Per Second,Energy per Token(mJ)
0,16,128,1,4,128,64,4096.0,2048.0,16384.0,8192.0,5.0,3.734,1.069,2048,1024,64,8,1.908,8067622.489596,17.511680000000002,57.10474380527739,0.03341228544000001
1,16,128,1,4,128,128,4096.0,4096.0,16384.0,16384.0,5.0,3.887,0.909,2048,2048,128,8,2.464,10573020.364796,19.907840000000004,50.23146659808396,0.04905291776000001
2,16,128,1,8,128,64,2048.0,1024.0,16384.0,8192.0,5.0,3.719,1.085,1024,512,64,16,2.176,8624761.830392,9.319680000000002,107.29982145309708,0.020279623680000004
3,16,128,1,8,128,128,2048.0,2048.0,16384.0,16384.0,5.0,3.734,1.069,1024,1024,128,16,2.712,11125370.111992,10.7328,93.17233154442458,0.0291073536
4,16,128,1,8,128,192,2048.0,3072.0,16384.0,24576.0,5.0,3.914,0.88,1024,1536,192,16,3.256,13614517.401592,13.088000000000001,76.40586797066014,0.042614528
5,16,128,1,8,128,256,2048.0,4096.0,16384.0,32768.0,5.0,3.962,0.829,1024,2048,256,16,3.816,16120901.222392,16.385279999999998,61.0303882509179,0.06252622847999999
6,16,128,1,16,128,64,1024.0,1024.0,16384.0,16384.0,5.0,3.75,1.053,512,512,64,32,3.28,12300657.3056,5.223680000000002,191.43592256799798,0.017133670400000002
7,16,128,1,16,128,128,1024.0,1024.0,16384.0,16384.0,5.0,3.75,1.053,512,512,128,32,3.28,12300657.3056,6.1452800000000005,162.72651530931054,0.0201565184
8,16,128,1,16,128,192,1024.0,2048.0,16384.0,32768.0,5.0,3.793,1.007,512,1024,192,32,4.368,17271544.780784,7.68128,130.1866355607399,0.03355183104
9,16,128,1,16,128,256,1024.0,2048.0,16384.0,32768.0,5.0,3.793,1.007,512,1024,256,32,4.368,17271544.780784,9.83168,101.7120166644968,0.04294477824
10,16,128,1,16,128,512,1024.0,4096.0,16384.0,65536.0,5.0,3.784,1.017,512,2048,512,32,6.608,27294897.971184,24.57728,40.68798500078121,0.16240666624
11,16,128,1,32,128,64,1024.0,512.0,32768.0,16384.0,5.0,3.723,1.081,512,256,64,64,5.568,19591429.7344,3.1756800000000007,314.89318823055214,0.017682186240000005
12,16,128,1,32,128,128,1024.0,1024.0,32768.0,32768.0,5.0,3.75,1.053,512,512,128,64,6.56,24601314.6112,3.8515200000000007,259.6377534064473,0.025265971200000004
13,16,128,1,32,128,192,1024.0,1024.0,32768.0,32768.0,5.0,3.75,1.053,512,512,192,64,6.56,24601314.6112,4.97792,200.88711751092825,0.032655155199999994
14,16,128,1,32,128,256,1024.0,1024.0,32768.0,32768.0,5.0,3.75,1.053,512,512,256,64,6.56,24601314.6112,6.554880000000001,152.55809412224173,0.0430000128
15,16,128,1,32,128,512,1024.0,2048.0,32768.0,65536.0,5.0,3.793,1.007,512,1024,512,64,8.736,34543089.561568,17.36832,57.57609256393249,0.15172964352
16,16,128,1,32,128,768,1024.0,3072.0,32768.0,98304.0,5.0,3.747,1.056,512,1536,768,64,10.944,44508086.783968,35.39072,28.255994791855038,0.38731603968000006
