Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Head_dim,activation,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1,0,5,2.206,2.678,2.678,192,SILU,4.884,N/A,N/A,0.0246,149818.688,26109,1728,24381,0.0155,0.0,2.22e-08,0.0155,0.00401,0.00517,7.11e-08,0.00918,24393,31297,12,6916,26109,149818.688,0,0,0,39
1,1,5,2.197,2.687,2.687,240,SILU,4.884,N/A,N/A,0.0308,187096.9408,32573,2160,30413,0.0193,0.0,2.77e-08,0.0193,0.00502,0.00645,8.87e-08,0.0115,30425,39057,12,8644,32573,187096.9408,0,0,0,48
1,2,5,2.197,2.688,2.688,136,SILU,4.885,N/A,N/A,0.0175,106154.3104,18455,1224,17231,0.0109,0.0,1.57e-08,0.0109,0.00285,0.00366,5.03e-08,0.00651,17243,22131,12,4900,18455,106154.3104,0,0,0,27
1,3,5,2.503,2.365,2.365,232,GELU,4.868,N/A,N/A,0.0379,236503.0752,43728,2088,41640,0.0189,0.0,2.67e-08,0.0189,0.00806,0.0109,1.19e-07,0.019,41652,49996,12,8356,43728,236503.0752,0,0,0,65
1,4,5,2.202,2.682,2.682,256,SILU,4.884,N/A,N/A,0.0328,199387.4784,34783,2304,32479,0.0206,0.0,2.96e-08,0.0206,0.00533,0.00686,9.48e-08,0.0122,32491,41699,12,9220,34783,199387.4784,0,0,0,52
1,5,5,1.265,3.668,3.668,144,RELU,4.933,N/A,N/A,0.011,43605.5712,4609,1152,3457,0.0102,0.000121,1.48e-08,0.0103,0.000342,0.000389,1.05e-08,0.000732,3325,8501,12,5188,4609,43605.5712,0,0,0,5
1,6,5,1.265,3.668,3.668,176,RELU,4.933,N/A,N/A,0.0135,53294.864,5633,1408,4225,0.0124,0.000147,1.81e-08,0.0126,0.000418,0.000476,1.28e-08,0.000894,4061,10389,12,6340,5633,53294.864,0,0,0,5
1,7,5,1.427,3.498,3.498,176,SOFTPLUS,4.925000000000001,N/A,N/A,0.0153,64326.6944,7886,1584,6302,0.0138,0.0,2.05e-08,0.0138,0.000634,0.000853,1.86e-08,0.00149,6314,12642,12,6340,7886,64326.6944,0,0,0,13
1,8,5,1.265,3.668,3.668,208,RELU,4.933,N/A,N/A,0.0159,62984.1568,6657,1664,4993,0.0147,0.000174,2.14e-08,0.0149,0.000494,0.000563,1.52e-08,0.00106,4797,12277,12,7492,6657,62984.1568,0,0,0,6
1,9,5,1.265,3.668,3.668,16,RELU,4.933,N/A,N/A,0.00123,4848.4,513,128,385,0.00113,1.34e-05,1.64e-09,0.00114,3.8e-05,4.33e-05,1.17e-09,8.13e-05,381,949,12,580,513,4848.4,0,0,0,2
10,0,5,2.193,2.692,2.692,48,SILU,4.885,N/A,N/A,0.00616,37462.1792,6500,432,6068,0.00386,0.0,5.54e-09,0.00386,0.00101,0.00129,1.77e-08,0.0023,6080,7800,12,1732,6500,37462.1792,0,0,0,11
10,1,5,2.464,2.406,2.406,192,GELU,4.87,N/A,N/A,0.0313,194634.1696,36041,1728,34313,0.0157,0.0,2.21e-08,0.0157,0.00663,0.00898,9.9e-08,0.0156,34325,41229,12,6916,36041,194634.1696,0,0,0,54
10,2,5,2.465,2.405,2.405,224,GELU,4.869999999999999,N/A,N/A,0.0366,226383.3696,42022,2016,40006,0.0183,0.0,2.57e-08,0.0183,0.00779,0.0106,1.15e-07,0.0184,40018,48074,12,8068,42022,226383.3696,0,0,0,63
10,3,5,1.265,3.668,3.668,128,RELU,4.933,N/A,N/A,0.00981,38760.9248,4097,1024,3073,0.00905,0.000107,1.32e-08,0.00916,0.000304,0.000346,9.34e-09,0.00065,2957,7557,12,4612,4097,38760.9248,0,0,0,4
10,4,5,2.197,2.688,2.688,128,SILU,4.885,N/A,N/A,0.0164,99816.9824,17399,1152,16247,0.0103,0.0,1.48e-08,0.0103,0.00267,0.00345,4.73e-08,0.00613,16259,20859,12,4612,17399,99816.9824,0,0,0,26
11,0,5,1.368,3.56,3.56,24,SOFTPLUS,4.928,N/A,N/A,0.0021,8871.008,1074,216,858,0.00189,0.0,2.79e-09,0.00189,9.21e-05,0.00012,2.52e-09,0.000213,870,1726,12,868,1074,8871.008,0,0,0,4
11,1,5,1.368,3.56,3.56,72,SOFTPLUS,4.928,N/A,N/A,0.0063,26654.3136,3222,648,2574,0.00566,0.0,8.38e-09,0.00566,0.000278,0.000363,7.54e-09,0.000641,2586,5170,12,2596,3222,26654.3136,0,0,0,6
11,2,5,1.368,3.56,3.56,88,SOFTPLUS,4.928,N/A,N/A,0.0077,32569.9872,3939,792,3147,0.00692,0.0,1.02e-08,0.00692,0.000339,0.000444,9.21e-09,0.000783,3159,6319,12,3172,3939,32569.9872,0,0,0,7
11,3,5,2.491,2.378,2.378,184,GELU,4.869,N/A,N/A,0.03,186782.8896,34545,1656,32889,0.015,0.0,2.12e-08,0.015,0.00637,0.00862,9.48e-08,0.015,32901,39517,12,6628,34545,186782.8896,0,0,0,51
12,0,5,1.265,3.668,3.668,8,RELU,4.933,N/A,N/A,0.000613,2426.0768,257,64,193,0.000566,6.7e-06,8.22e-10,0.000572,1.9e-05,2.16e-05,5.87e-10,4.06e-05,197,477,12,292,257,2426.0768,0,0,0,3
12,1,5,1.427,3.498,3.498,160,SOFTPLUS,4.925000000000001,N/A,N/A,0.0139,58548.6528,7165,1440,5725,0.0126,0.0,1.86e-08,0.0126,0.00058,0.000778,1.7e-08,0.00136,5737,11489,12,5764,7165,58548.6528,0,0,0,12
13,0,5,1.265,3.668,3.668,168,RELU,4.933,N/A,N/A,0.0129,50872.5408,5377,1344,4033,0.0119,0.000141,1.73e-08,0.012,0.000399,0.000454,1.23e-08,0.000854,3877,9917,12,6052,5377,50872.5408,0,0,0,6
13,1,5,1.265,3.668,3.668,120,RELU,4.933,N/A,N/A,0.0092,36338.6016,3841,960,2881,0.00849,0.0001,1.23e-08,0.00859,0.000285,0.000325,8.75e-09,0.00061,2773,7085,12,4324,3841,36338.6016,0,0,0,5
13,2,5,1.265,3.668,3.668,184,RELU,4.933,N/A,N/A,0.0141,55717.1872,5889,1472,4417,0.013,0.000154,1.89e-08,0.0132,0.000437,0.000498,1.34e-08,0.000935,4245,10861,12,6628,5889,55717.1872,0,0,0,6
14,0,5,2.219,2.664,2.664,56,SILU,4.883,N/A,N/A,0.0072,43749.4592,7595,504,7091,0.00451,0.0,6.47e-09,0.00451,0.00117,0.00151,2.07e-08,0.00269,7103,9111,12,2020,7595,43749.4592,0,0,0,12
14,1,5,2.457,2.413,2.413,176,GELU,4.869999999999999,N/A,N/A,0.0288,178140.8512,32939,1584,31355,0.0144,0.0,2.02e-08,0.0144,0.00614,0.00832,9.02e-08,0.0145,31367,37695,12,6340,32939,178140.8512,0,0,0,49
15,0,5,2.419,2.453,2.453,72,GELU,4.872,N/A,N/A,0.0118,73509.2512,13535,648,12887,0.00587,0.0,8.28e-09,0.00587,0.00251,0.0034,3.73e-08,0.00591,12899,15483,12,2596,13535,73509.2512,0,0,0,21
15,1,5,2.449,2.422,2.422,256,GELU,4.871,N/A,N/A,0.0419,259254.896,48102,2304,45798,0.0209,0.0,2.94e-08,0.0209,0.00893,0.0121,1.32e-07,0.021,45810,55018,12,9220,48102,259254.896,0,0,0,73
15,2,5,2.476,2.394,2.394,120,GELU,4.87,N/A,N/A,0.0194,119473.3344,22142,1080,21062,0.00977,0.0,1.38e-08,0.00977,0.00409,0.00553,6.05e-08,0.00962,21074,25386,12,4324,22142,119473.3344,0,0,0,34
16,0,5,1.265,3.668,3.668,88,RELU,4.933,N/A,N/A,0.00674,26649.3088,2817,704,2113,0.00622,7.37e-05,9.05e-09,0.0063,0.000209,0.000238,6.42e-09,0.000447,2037,5197,12,3172,2817,26649.3088,0,0,0,4
16,1,5,2.428,2.444,2.444,80,GELU,4.872,N/A,N/A,0.0131,81416.8352,15033,720,14313,0.00652,0.0,9.2e-09,0.00652,0.00278,0.00376,4.14e-08,0.00655,14325,17197,12,2884,15033,81416.8352,0,0,0,23
16,2,5,2.197,2.688,2.688,40,SILU,4.885,N/A,N/A,0.00511,31078.5568,5415,360,5055,0.00322,0.0,4.62e-09,0.00322,0.000829,0.00106,1.47e-08,0.00189,5067,6499,12,1444,5415,31078.5568,0,0,0,9
17,0,5,2.227,2.656,2.656,152,SILU,4.883,N/A,N/A,0.0195,118757.648,20612,1368,19244,0.0122,0.0,1.75e-08,0.0122,0.00318,0.0041,5.63e-08,0.00728,19256,24720,12,5476,20612,118757.648,0,0,0,30
17,1,5,1.265,3.668,3.668,232,RELU,4.933,N/A,N/A,0.0178,70251.1264,7425,1856,5569,0.0164,0.000194,2.38e-08,0.0166,0.000551,0.000627,1.69e-08,0.00118,5349,13693,12,8356,7425,70251.1264,0,0,0,6
18,0,5,2.202,2.682,2.682,120,SILU,4.884,N/A,N/A,0.0154,93493.4176,16283,1080,15203,0.00966,0.0,1.39e-08,0.00966,0.00249,0.00321,4.43e-08,0.0057,15215,19527,12,4324,16283,93493.4176,0,0,0,25
19,0,5,1.265,3.668,3.668,112,RELU,4.933,N/A,N/A,0.00858,33916.2784,3585,896,2689,0.00792,9.38e-05,1.15e-08,0.00801,0.000266,0.000303,8.17e-09,0.000569,2589,6613,12,4036,3585,33916.2784,0,0,0,5
19,1,5,1.409,3.517,3.517,96,SOFTPLUS,4.926,N/A,N/A,0.00838,35287.5936,4303,864,3439,0.00755,0.0,1.12e-08,0.00755,0.000354,0.000474,1.02e-08,0.000828,3451,6899,12,3460,4303,35287.5936,0,0,0,8
19,2,5,2.424,2.449,2.449,32,GELU,4.872999999999999,N/A,N/A,0.00523,32807.7152,6041,288,5753,0.00261,0.0,3.68e-09,0.00261,0.00112,0.0015,1.65e-08,0.00262,5765,6909,12,1156,6041,32807.7152,0,0,0,10
19,3,5,1.368,3.56,3.56,248,SOFTPLUS,4.928,N/A,N/A,0.0217,91721.7184,11091,2232,8859,0.0195,0.0,2.89e-08,0.0195,0.000955,0.00124,2.6e-08,0.0022,8871,17791,12,8932,11091,91721.7184,0,0,0,17
2,0,5,1.368,3.56,3.56,8,SOFTPLUS,4.928,N/A,N/A,0.0007,2955.3344,358,72,286,0.000629,0.0,9.31e-10,0.000629,3.07e-05,3.99e-05,8.41e-10,7.06e-05,298,578,12,292,358,2955.3344,0,0,0,3
2,1,5,1.368,3.56,3.56,136,SOFTPLUS,4.928,N/A,N/A,0.0119,50339.5296,6084,1224,4860,0.0107,0.0,1.58e-08,0.0107,0.000525,0.000684,1.42e-08,0.00121,4872,9760,12,4900,6084,50339.5296,0,0,0,10
2,2,5,2.205,2.679,2.679,216,SILU,4.884,N/A,N/A,0.0277,168327.6896,29329,1944,27385,0.0174,0.0,2.49e-08,0.0174,0.0045,0.00578,7.99e-08,0.0103,27397,35165,12,7780,29329,168327.6896,0,0,0,44
2,3,5,2.202,2.682,2.682,176,SILU,4.884,N/A,N/A,0.0225,137017.6608,23905,1584,22321,0.0142,0.0,2.03e-08,0.0142,0.00366,0.00469,6.51e-08,0.00835,22333,28661,12,6340,23905,137017.6608,0,0,0,35
2,4,5,2.423,2.449,2.449,48,GELU,4.872,N/A,N/A,0.00787,48966.9632,9003,432,8571,0.00391,0.0,5.52e-09,0.00391,0.00168,0.00228,2.47e-08,0.00396,8583,10303,12,1732,9003,48966.9632,0,0,0,14
2,5,5,1.265,3.668,3.668,160,RELU,4.933,N/A,N/A,0.0123,48450.2176,5121,1280,3841,0.0113,0.000134,1.64e-08,0.0114,0.00038,0.000433,1.17e-08,0.000813,3693,9445,12,5764,5121,48450.2176,0,0,0,5
2,6,5,1.427,3.498,3.498,256,SOFTPLUS,4.925000000000001,N/A,N/A,0.0223,93474.6496,11459,2304,9155,0.0201,0.0,2.98e-08,0.0201,0.00092,0.00124,2.71e-08,0.00216,9167,18375,12,9220,11459,93474.6496,0,0,0,18
2,7,5,2.482,2.388,2.388,152,GELU,4.87,N/A,N/A,0.0244,149634.7616,27646,1368,26278,0.0124,0.0,1.75e-08,0.0124,0.00509,0.0069,7.57e-08,0.012,26290,31754,12,5476,27646,149634.7616,0,0,0,42
2,8,5,2.435,2.437,2.437,136,GELU,4.872,N/A,N/A,0.0223,137873.4816,25430,1224,24206,0.0111,0.0,1.56e-08,0.0111,0.00477,0.00645,6.98e-08,0.0112,24218,29106,12,4900,25430,137873.4816,0,0,0,37
20,0,5,2.457,2.414,2.414,112,GELU,4.871,N/A,N/A,0.0184,113521.376,20983,1008,19975,0.00914,0.0,1.29e-08,0.00914,0.00392,0.00531,5.76e-08,0.00924,19987,24011,12,4036,20983,113521.376,0,0,0,31
20,1,5,1.409,3.517,3.517,32,SOFTPLUS,4.926,N/A,N/A,0.00279,11755.024,1433,288,1145,0.00252,0.0,3.72e-09,0.00252,0.000118,0.000158,3.39e-09,0.000276,1157,2301,12,1156,1433,11755.024,0,0,0,4
20,2,5,1.427,3.498,3.498,64,SOFTPLUS,4.925000000000001,N/A,N/A,0.00557,23376.1696,2868,576,2292,0.00503,0.0,7.45e-09,0.00503,0.00023,0.000309,6.8e-09,0.000539,2304,4600,12,2308,2868,23376.1696,0,0,0,5
20,3,5,1.409,3.517,3.517,128,SOFTPLUS,4.926,N/A,N/A,0.0112,46966.2944,5727,1152,4575,0.0101,0.0,1.49e-08,0.0101,0.00047,0.00063,1.36e-08,0.0011,4587,9187,12,4612,5727,46966.2944,0,0,0,9
21,0,5,1.265,3.668,3.668,192,RELU,4.933,N/A,N/A,0.0147,58139.5104,6145,1536,4609,0.0136,0.000161,1.97e-08,0.0137,0.000456,0.000519,1.4e-08,0.000975,4429,11333,12,6916,6145,58139.5104,0,0,0,5
21,1,5,2.197,2.688,2.688,112,SILU,4.885,N/A,N/A,0.0144,87356.2816,15165,1008,14157,0.00901,0.0,1.29e-08,0.00901,0.00235,0.00301,4.12e-08,0.00536,14169,18193,12,4036,15165,87356.2816,0,0,0,22
21,2,5,1.265,3.668,3.668,32,RELU,4.933,N/A,N/A,0.00245,9693.0464,1025,256,769,0.00226,2.68e-05,3.29e-09,0.00229,7.6e-05,8.65e-05,2.34e-09,0.000163,749,1893,12,1156,1025,9693.0464,0,0,0,3
21,3,5,2.202,2.682,2.682,200,SILU,4.884,N/A,N/A,0.0256,155894.5152,27162,1800,25362,0.0161,0.0,2.31e-08,0.0161,0.00417,0.00536,7.39e-08,0.00953,25374,32566,12,7204,27162,155894.5152,0,0,0,40
22,0,5,2.454,2.417,2.417,216,GELU,4.871,N/A,N/A,0.0352,219265.2928,40558,1944,38614,0.0176,0.0,2.48e-08,0.0176,0.00747,0.0101,1.11e-07,0.0176,38626,46394,12,7780,40558,219265.2928,0,0,0,61
22,1,5,1.265,3.668,3.668,56,RELU,4.933,N/A,N/A,0.00429,16960.016,1793,448,1345,0.00396,4.69e-05,5.76e-09,0.00401,0.000133,0.000151,4.09e-09,0.000285,1301,3309,12,2020,1793,16960.016,0,0,0,4
22,2,5,1.427,3.498,3.498,224,SOFTPLUS,4.925000000000001,N/A,N/A,0.0195,81794.6976,10027,2016,8011,0.0176,0.0,2.61e-08,0.0176,0.000805,0.00108,2.37e-08,0.00189,8023,16079,12,8068,10027,81794.6976,0,0,0,16
23,0,5,2.207,2.677,2.677,208,SILU,4.884,N/A,N/A,0.0267,161960.3328,28236,1872,26364,0.0167,0.0,2.4e-08,0.0167,0.00433,0.00558,7.68e-08,0.00992,26376,33856,12,7492,28236,161960.3328,0,0,0,42
24,0,5,2.431,2.441,2.441,144,GELU,4.872,N/A,N/A,0.0235,146436.6944,27066,1296,25770,0.0117,0.0,1.66e-08,0.0117,0.005,0.00676,7.45e-08,0.0118,25782,30958,12,5188,27066,146436.6944,0,0,0,40
24,1,5,2.178,2.707,2.707,8,SILU,4.885,N/A,N/A,0.00103,6267.2608,1097,72,1025,0.000643,0.0,9.25e-10,0.000643,0.000168,0.000219,2.97e-09,0.000387,1037,1317,12,292,1097,6267.2608,0,0,0,4
25,0,5,2.192,2.693,2.693,80,SILU,4.885,N/A,N/A,0.0103,62753.936,10874,720,10154,0.00644,0.0,9.23e-09,0.00644,0.0017,0.00219,2.96e-08,0.00388,10166,13038,12,2884,10874,62753.936,0,0,0,17
25,1,5,1.368,3.56,3.56,56,SOFTPLUS,4.928,N/A,N/A,0.00491,20761.1616,2508,504,2004,0.0044,0.0,6.52e-09,0.0044,0.000217,0.000284,5.85e-09,0.000502,2016,4024,12,2020,2508,20761.1616,0,0,0,6
25,2,5,2.202,2.682,2.682,96,SILU,4.884,N/A,N/A,0.0123,74846.784,13058,864,12194,0.00773,0.0,1.11e-08,0.00773,0.002,0.00257,3.56e-08,0.00457,12206,15654,12,3460,13058,74846.784,0,0,0,20
26,0,5,2.452,2.419,2.419,200,GELU,4.871,N/A,N/A,0.0328,204716.3392,37685,1800,35885,0.0163,0.0,2.3e-08,0.0163,0.00699,0.00946,1.02e-07,0.0165,35897,43089,12,7204,37685,204716.3392,0,0,0,58
27,0,5,2.187,2.697,2.697,32,SILU,4.884,N/A,N/A,0.00412,25024.0,4352,288,4064,0.00258,0.0,3.7e-09,0.00258,0.000674,0.000872,1.19e-08,0.00155,4076,5220,12,1156,4352,25024.0,0,0,0,8
27,1,5,1.427,3.498,3.498,240,SOFTPLUS,4.925000000000001,N/A,N/A,0.0209,87669.0816,10748,2160,8588,0.0189,0.0,2.79e-08,0.0189,0.000863,0.00116,2.54e-08,0.00202,8600,17232,12,8644,10748,87669.0816,0,0,0,17
27,2,5,2.46,2.411,2.411,208,GELU,4.871,N/A,N/A,0.0339,211655.4944,39173,1872,37301,0.017,0.0,2.39e-08,0.017,0.00722,0.00977,1.08e-07,0.017,37313,44793,12,7492,39173,211655.4944,0,0,0,60
28,0,5,1.265,3.668,3.668,104,RELU,4.933,N/A,N/A,0.00797,31493.9552,3329,832,2497,0.00735,8.71e-05,1.07e-08,0.00744,0.000247,0.000281,7.59e-09,0.000528,2405,6141,12,3748,3329,31493.9552,0,0,0,4
28,1,5,2.206,2.678,2.678,232,SILU,4.884,N/A,N/A,0.0297,180740.8448,31493,2088,29405,0.0187,0.0,2.68e-08,0.0187,0.00483,0.00621,8.58e-08,0.011,29417,37761,12,8356,31493,180740.8448,0,0,0,49
28,2,5,1.265,3.668,3.668,216,RELU,4.933,N/A,N/A,0.0166,65406.48,6913,1728,5185,0.0153,0.000181,2.22e-08,0.0155,0.000513,0.000584,1.58e-08,0.0011,4981,12749,12,7780,6913,65406.48,0,0,0,6
