Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1,0,5,3.476,1.342,1.342,64,64,16,4.818,N/A,N/A,0.0768,218965.0048,32239,4678,27561,0.0445,0.00234,4.01e-08,0.0468,0.0131,0.0168,6.36e-08,0.03,32362,33394,4893,5925,32239,218965.0048,0,0,0,28
1,1,5,3.928,0.865,0.865,64,1536,64,4.793,N/A,N/A,1.09,4329096.947197,594965,111803,483162,0.93,0.00739,9.06e-07,0.937,0.0618,0.0956,7.02e-07,0.157,594980,598159,112357,115536,594965,4329096.947197,0,0,0,852
1,2,5,3.802,0.997,0.997,2048,256,32,4.799,N/A,N/A,0.747,3038953.347201,418714,78598,340116,0.654,0.0052,6.36e-07,0.659,0.0338,0.0543,4.72e-07,0.0881,418801,420553,78931,80683,418714,3038953.347201,0,0,0,474
1,3,5,3.583,1.228,1.228,32,1024,16,4.811,N/A,N/A,0.207,784660.051199,110241,19526,90715,0.167,0.0026,1.6e-07,0.169,0.0155,0.0223,1.44e-07,0.0378,110364,111399,19744,20779,110241,784660.051199,0,0,0,89
1,4,5,3.897,0.898,0.898,128,1536,32,4.795,N/A,N/A,0.568,2257935.539201,310128,58118,252010,0.483,0.00407,4.71e-07,0.487,0.0311,0.0496,3.61e-07,0.0807,310215,311966,58450,60201,310128,2257935.539201,0,0,0,333
1,5,5,3.771,1.031,1.031,1536,64,128,4.802,N/A,N/A,2.1,8607129.920013,1182111,223135,958976,1.84,0.00896,1.81e-06,1.84,0.0951,0.155,1.34e-06,0.251,1181982,1188022,224137,230177,1182111,8607129.920013,0,0,0,3808
1,6,5,3.844,0.954,0.954,1536,512,128,4.798,N/A,N/A,2.6,10797654.556801,1484916,280479,1204437,2.31,0.0128,2.26e-06,2.32,0.104,0.173,1.66e-06,0.277,1484787,1490830,281484,287527,1484916,10797654.556801,0,0,0,4131
1,7,5,3.751,1.052,1.052,512,1536,32,4.803,N/A,N/A,0.676,2718379.6416,374688,70406,304282,0.585,0.00477,5.7e-07,0.59,0.0327,0.053,4.24e-07,0.0857,374775,376528,70740,72493,374688,2718379.6416,0,0,0,397
1,8,5,3.466,1.352,1.352,32,128,16,4.8180000000000005,N/A,N/A,0.0875,239716.1568,34955,5190,29765,0.0513,0.00302,4.44e-08,0.0544,0.0146,0.0185,6.62e-08,0.0331,35078,36110,5405,6437,34955,239716.1568,0,0,0,33
1,9,5,4.022,0.766,0.766,1024,512,32,4.788,N/A,N/A,0.533,2106442.745599,291188,54022,237166,0.451,0.00463,4.38e-07,0.456,0.0308,0.0468,3.41e-07,0.0777,291275,293027,54355,56107,291188,2106442.745599,0,0,0,267
10,0,5,3.73,1.074,1.074,256,256,32,4.804,N/A,N/A,0.274,867314.3232,122036,21254,100782,0.191,0.0066,1.75e-07,0.197,0.0335,0.0429,1.83e-07,0.0764,122123,123872,21584,23333,122036,867314.3232,0,0,0,104
10,1,5,3.601,1.209,1.209,2048,32,128,4.8100000000000005,N/A,N/A,2.62,10954736.460912,1504956,284575,1220381,2.34,0.0102,2.3e-06,2.35,0.101,0.171,1.67e-06,0.272,1504827,1510866,285576,291615,1504956,10954736.460912,0,0,0,4964
10,2,5,3.665,1.142,1.142,128,1024,16,4.807,N/A,N/A,0.221,845474.627199,118056,21062,96994,0.179,0.00263,1.72e-07,0.182,0.0161,0.0234,1.52e-07,0.0395,118179,119216,21282,22319,118056,845474.627199,0,0,0,94
10,3,5,3.632,1.177,1.177,256,32,64,4.809,N/A,N/A,0.402,1151702.073599,161814,27835,133979,0.256,0.0108,2.3e-07,0.267,0.0606,0.0747,2.7e-07,0.135,161829,165004,28385,31560,161814,1151702.073599,0,0,0,137
10,4,5,3.67,1.137,1.137,2048,64,64,4.807,N/A,N/A,1.37,5585585.769596,766927,144571,622356,1.2,0.00783,1.17e-06,1.2,0.0651,0.102,8.81e-07,0.167,766942,770121,145125,148304,766927,5585585.769596,0,0,0,1265
11,0,5,3.848,0.949,0.949,1536,32,128,4.797,N/A,N/A,2.06,8444626.56639,1161790,219039,942751,1.81,0.00987,1.77e-06,1.82,0.0945,0.153,1.31e-06,0.248,1161661,1167700,220040,226079,1161790,8444626.56639,0,0,0,2818
11,1,5,3.564,1.249,1.249,512,128,32,4.813000000000001,N/A,N/A,0.297,1013952.460799,140496,25350,115146,0.22,0.00544,2.07e-07,0.226,0.0303,0.041,1.84e-07,0.0713,140583,142332,25680,27429,140496,1013952.460799,0,0,0,120
11,2,5,3.734,1.069,1.069,2048,1024,16,4.803,N/A,N/A,0.477,2016905.622399,279220,51782,227438,0.428,0.00219,4.19e-07,0.43,0.0172,0.0297,3.17e-07,0.0469,279343,280384,52006,53047,279220,2016905.622399,0,0,0,239
11,3,5,3.376,1.446,1.446,64,64,64,4.822,N/A,N/A,0.294,754899.008,105207,17595,87612,0.165,0.00829,1.47e-07,0.173,0.054,0.0671,1.96e-07,0.121,105222,108396,18144,21318,105207,754899.008,0,0,0,82
11,4,5,3.512,1.303,1.303,32,256,16,4.8149999999999995,N/A,N/A,0.108,318920.8704,46569,7238,39331,0.0694,0.0035,6.1e-08,0.0729,0.0157,0.0194,8.16e-08,0.0351,46692,47725,7454,8487,46569,318920.8704,0,0,0,43
11,5,5,3.476,1.342,1.342,32,64,16,4.818,N/A,N/A,0.0759,200060.624,29771,4166,25605,0.0421,0.00272,3.61e-08,0.0449,0.0136,0.0174,6.02e-08,0.031,29894,30925,4380,5411,29771,200060.624,0,0,0,28
11,6,5,3.988,0.802,0.802,32,2048,32,4.79,N/A,N/A,0.677,2761509.756801,380344,71430,308914,0.591,0.00365,5.78e-07,0.594,0.0308,0.0523,4.25e-07,0.0831,380431,382180,71760,73509,380344,2761509.756801,0,0,0,423
11,7,5,3.335,1.489,1.489,64,32,16,4.824,N/A,N/A,0.0769,200128.1888,29773,4166,25607,0.0422,0.00275,3.61e-08,0.0449,0.014,0.0179,6.03e-08,0.0319,29896,30927,4380,5411,29773,200128.1888,0,0,0,28
12,0,5,3.555,1.258,1.258,256,32,16,4.813000000000001,N/A,N/A,0.107,318132.6144,46448,7238,39210,0.0691,0.0034,6.1e-08,0.0725,0.0151,0.019,8.03e-08,0.0341,46571,47604,7454,8487,46448,318132.6144,0,0,0,41
12,1,5,3.834,0.964,0.964,2048,512,64,4.798,N/A,N/A,1.62,6675437.273596,917530,173243,744287,1.43,0.00919,1.4e-06,1.44,0.069,0.11,1.03e-06,0.179,917545,920727,173800,176982,917530,6675437.273596,0,0,0,1289
12,2,5,3.989,0.801,0.801,512,128,16,4.79,N/A,N/A,0.153,534375.008,75638,12870,62768,0.114,0.00324,1.06e-07,0.118,0.0151,0.02,1.07e-07,0.0351,75761,76797,13089,14125,75638,534375.008,0,0,0,63
12,3,5,3.834,0.964,0.964,1024,512,64,4.798,N/A,N/A,1.07,4182217.328,577140,107707,469433,0.901,0.00914,8.73e-07,0.911,0.0633,0.092,6.83e-07,0.155,577155,580336,108263,111444,577140,4182217.328,0,0,0,596
12,4,5,3.485,1.332,1.332,128,32,16,4.817,N/A,N/A,0.0872,239742.432,34958,5190,29768,0.0513,0.00301,4.44e-08,0.0543,0.0146,0.0184,6.61e-08,0.0329,35081,36113,5405,6437,34958,239742.432,0,0,0,32
12,5,5,3.966,0.825,0.825,64,1024,64,4.791,N/A,N/A,0.818,3094003.644801,426462,79035,347427,0.663,0.00759,6.41e-07,0.67,0.0608,0.0867,5.33e-07,0.147,426477,429655,79588,82766,426462,3094003.644801,0,0,0,432
13,0,5,3.495,1.321,1.321,128,64,64,4.816,N/A,N/A,0.336,915156.4576,125645,21691,103954,0.2,0.00912,1.8e-07,0.209,0.0563,0.0704,2.18e-07,0.127,125660,128835,22241,25416,125645,915156.4576,0,0,0,103
13,1,5,3.825,0.974,0.974,256,1536,64,4.799,N/A,N/A,1.22,4806908.956794,661975,124091,537884,1.04,0.0101,1e-06,1.05,0.0695,0.104,7.88e-07,0.173,661990,665171,124647,127828,661975,4806908.956794,0,0,0,834
13,2,5,3.584,1.228,1.228,64,512,16,4.812,N/A,N/A,0.144,494897.1456,70510,11846,58664,0.106,0.00316,9.8e-08,0.109,0.0152,0.0203,1.02e-07,0.0355,70633,71668,12064,13099,70510,494897.1456,0,0,0,59
13,3,5,3.724,1.08,1.08,64,128,64,4.804,N/A,N/A,0.338,914559.6352,125767,21691,104076,0.2,0.00898,1.8e-07,0.209,0.0574,0.0722,2.16e-07,0.13,125782,128957,22241,25416,125767,914559.6352,0,0,0,105
13,4,5,3.839,0.958,0.958,1024,1536,32,4.797,N/A,N/A,0.806,3345711.3024,460076,86790,373286,0.715,0.00349,7.02e-07,0.719,0.0322,0.055,5.18e-07,0.0872,460163,461917,87125,88879,460076,3345711.3024,0,0,0,443
13,5,5,3.628,1.181,1.181,128,64,128,4.809,N/A,N/A,0.592,1785152.102399,244753,42911,201842,0.379,0.0113,3.54e-07,0.39,0.0883,0.114,3.74e-07,0.202,244624,250660,43909,49945,244753,1785152.102399,0,0,0,196
14,0,5,3.608,1.202,1.202,1536,32,32,4.8100000000000005,N/A,N/A,0.535,2136999.552001,294915,55046,239869,0.457,0.00364,4.46e-07,0.461,0.0287,0.0453,3.43e-07,0.074,295002,296751,55376,57125,294915,2136999.552001,0,0,0,285
14,1,5,3.948,0.844,0.844,512,256,64,4.792,N/A,N/A,0.675,2320727.011199,322283,58555,263728,0.511,0.0131,4.77e-07,0.524,0.0659,0.0846,4.29e-07,0.151,322298,325477,59109,62288,322283,2320727.011199,0,0,0,296
