Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1,0,6,3.913,1.881,1.881,128,256,16,5.794,N/A,N/A,0.102,378844.592,54255,8774,45481,0.0681,0.0029,7.34e-08,0.071,0.0135,0.017,8.98e-08,0.0305,54378,55413,8992,10027,54255,378844.592,0,0,0,48
1,1,6,3.904,1.891,1.891,256,256,128,5.795,N/A,N/A,0.84,3371324.617599,470816,83871,386945,0.617,0.0173,6.86e-07,0.635,0.0914,0.115,6.83e-07,0.206,470687,476726,84872,90911,470816,3371324.617599,0,0,0,457
1,2,6,4.043,1.744,1.744,1536,64,64,5.787,N/A,N/A,0.91,4329857.676797,595374,111803,483571,0.775,0.00629,9.06e-07,0.781,0.0515,0.0769,7.03e-07,0.128,595389,598568,112357,115536,595374,4329857.676797,0,0,0,801
1,3,6,4.24,1.537,1.537,2048,2048,128,5.777,N/A,N/A,3.98,20758167.478642,2846886,542623,2304263,3.68,0.00784,4.37e-06,3.68,0.1,0.201,3.02e-06,0.301,2846757,2852802,543630,549675,2846886,20758167.478642,0,0,0,10991
1,4,6,3.927,1.866,1.866,1024,256,128,5.793,N/A,N/A,1.5,7090883.219197,977709,182175,795534,1.27,0.013,1.48e-06,1.28,0.0899,0.129,1.18e-06,0.219,977580,983621,183178,189219,977709,7090883.219197,0,0,0,1389
1,5,6,4.097,1.687,1.687,2048,1024,128,5.784000000000001,N/A,N/A,3.07,15782895.798505,2164783,411551,1753232,2.8,0.00765,3.31e-06,2.81,0.0955,0.172,2.37e-06,0.268,2164654,2170698,412557,418601,2164783,15782895.798505,0,0,0,7305
1,6,6,4.077,1.709,1.709,2048,2048,16,5.786,N/A,N/A,0.514,2643255.091199,365088,68166,296922,0.468,0.0018,5.51e-07,0.47,0.0151,0.0283,4.04e-07,0.0435,365211,366253,68391,69433,365088,2643255.091199,0,0,0,345
1,7,6,3.88,1.916,1.916,2048,128,128,5.795999999999999,N/A,N/A,2.29,11435590.137708,1566362,296863,1269499,2.04,0.0103,2.4e-06,2.05,0.0887,0.147,1.75e-06,0.236,1566233,1572274,297866,303907,1566362,11435590.137708,0,0,0,6224
1,8,6,3.693,2.113,2.113,512,32,16,5.806,N/A,N/A,0.118,473666.784,67817,11334,56483,0.0848,0.00265,9.39e-08,0.0874,0.013,0.0173,9.74e-08,0.0303,67940,68974,11551,12585,67817,473666.784,0,0,0,61
1,9,6,4.12,1.664,1.664,256,2048,64,5.784,N/A,N/A,1.25,6061340.806396,834060,156859,677201,1.09,0.00849,1.27e-06,1.1,0.0605,0.0947,9.59e-07,0.155,834075,837256,157415,160596,834060,6061340.806396,0,0,0,1322
10,0,6,3.784,2.017,2.017,256,1536,16,5.801,N/A,N/A,0.258,1235142.099199,172284,31302,140982,0.22,0.0025,2.55e-07,0.222,0.0142,0.0217,2.1e-07,0.0359,172407,173446,31524,32563,172284,1235142.099199,0,0,0,150
10,1,6,3.983,1.807,1.807,512,1024,16,5.79,N/A,N/A,0.227,1079471.548799,150993,27206,123787,0.192,0.00235,2.22e-07,0.194,0.0134,0.0199,1.84e-07,0.0333,151116,152155,27428,28467,150993,1079471.548799,0,0,0,118
10,2,6,3.924,1.869,1.869,1024,1024,16,5.793,N/A,N/A,0.283,1390671.263999,193394,35398,157996,0.246,0.00188,2.87e-07,0.248,0.0137,0.0215,2.3e-07,0.0352,193517,194557,35621,36661,193394,1390671.263999,0,0,0,149
10,3,6,3.959,1.833,1.833,1024,1024,32,5.792,N/A,N/A,0.558,2725471.443199,375201,70406,304795,0.485,0.00296,5.7e-07,0.488,0.0269,0.0429,4.34e-07,0.0698,375288,377041,70740,72493,375201,2725471.443199,0,0,0,312
10,4,6,4.196,1.584,1.584,128,128,128,5.779999999999999,N/A,N/A,0.563,2106517.817599,286184,51103,235081,0.378,0.0119,4.2e-07,0.389,0.0764,0.0976,4.27e-07,0.174,286055,292092,52102,58139,286184,2106517.817599,0,0,0,230
10,5,6,3.816,1.983,1.983,512,1024,32,5.7989999999999995,N/A,N/A,0.45,2101746.991999,290455,54022,236433,0.377,0.00404,4.38e-07,0.381,0.0276,0.0415,3.4e-07,0.0691,290542,292294,54355,56107,290455,2101746.991999,0,0,0,243
10,6,6,3.754,2.049,2.049,1024,128,32,5.803,N/A,N/A,0.359,1641933.494399,225878,41734,184144,0.292,0.00355,3.39e-07,0.296,0.0258,0.0371,2.81e-07,0.063,225965,227715,42065,43815,225878,1641933.494399,0,0,0,184
11,0,6,3.917,1.876,1.876,256,1024,16,5.792999999999999,N/A,N/A,0.203,925724.092799,129905,23110,106795,0.164,0.00251,1.89e-07,0.167,0.0149,0.0212,1.69e-07,0.0362,130028,131066,23331,24369,129905,925724.092799,0,0,0,103
11,1,6,3.914,1.88,1.88,128,128,64,5.7940000000000005,N/A,N/A,0.318,1074085.1328,146173,25787,120386,0.197,0.00829,2.13e-07,0.205,0.0499,0.0631,2.42e-07,0.113,146188,149364,26338,29514,146173,1074085.1328,0,0,0,122
11,2,6,3.824,1.974,1.974,128,512,64,5.798,N/A,N/A,0.495,1999838.003199,275924,50363,225561,0.367,0.00974,4.11e-07,0.377,0.0513,0.0669,3.68e-07,0.118,275939,279117,50916,54094,275924,1999838.003199,0,0,0,255
11,3,6,3.758,2.044,2.044,32,32,32,5.802,N/A,N/A,0.107,312128.1056,45314,6918,38396,0.0554,0.00324,5.88e-08,0.0586,0.0211,0.0275,8.65e-08,0.0486,45401,47144,7242,8985,45314,312128.1056,0,0,0,38
