Trial Number,Iteration Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Wmem Depth,Cache Depth,MAC NUM,Total Period (ns),ABC Max Fanout,ABC Map Effort,SYNTH_HIERARCHICAL,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1,0,5,4.194,0.586,0.586,128,128,4,4.78,40,0.5,False,0.0755,122819.0432,18208,1855,16351,0.0164,0.000244,2.32e-08,0.0167,0.0252,0.0337,4.42e-08,0.0589,18175,18661,2054,2540,18208,122819.0432,0,0,0,26
10,1,3,4.097,-1.313,-1.313,256,128,4,2.7840000000000007,40,0.5,False,0.0603,123656.096,18321,1857,16461,0.0287,0.000668,2.12e-08,0.0293,0.0132,0.0178,4.53e-08,0.031,18319,18805,2090,2576,18321,123656.096,0,0,0,30
100,2,3,4.027,-1.239,-1.239,4096,128,4,2.7880000000000003,40,0.5,False,0.0583,126388.7168,18663,1866,16788,0.0288,0.00069,2.13e-08,0.0295,0.0123,0.0165,4.63e-08,0.0288,18847,19333,2305,2791,18663,126388.7168,0,0,0,30
1000,3,3,4.049,-1.263,-1.263,1024,2048,4,2.7860000000000005,40,0.5,False,0.136,127663.6896,19240,1825,17409,0.0304,0.0014,2.1e-08,0.0318,0.044,0.0597,4.8e-08,0.104,19331,19817,2159,2645,19240,127663.6896,0,0,0,32
1001,4,5,4.049,0.737,0.737,1024,2048,4,4.7860000000000005,40,0.5,False,0.0813,127663.6896,19240,1825,17409,0.0183,0.000839,2.1e-08,0.0191,0.0264,0.0358,4.8e-08,0.0622,19331,19817,2159,2645,19240,127663.6896,0,0,0,32
1002,5,3,4.063,-1.276,-1.276,1024,2048,8,2.787,40,0.5,False,0.0581,162474.576,24618,2368,22238,0.0353,0.000472,2.91e-08,0.0358,0.00871,0.0136,5.87e-08,0.0224,24799,25477,2927,3605,24618,162474.576,0,0,0,34
1003,6,5,4.063,0.724,0.724,1024,2048,8,4.787,40,0.5,False,0.0825,162474.576,24618,2368,22238,0.021,0.00031,2.86e-08,0.0213,0.0264,0.0348,5.96e-08,0.0612,24799,25477,2927,3605,24618,162474.576,0,0,0,34
1004,7,3,3.787,-0.986,-0.986,1024,2048,16,2.801,40,0.5,False,0.0975,228882.016,34931,3343,31564,0.0492,0.000725,3.92e-08,0.0499,0.02,0.0276,8.52e-08,0.0476,35292,36354,4352,5414,34931,228882.016,0,0,0,49
1005,8,5,3.787,1.014,1.014,1024,2048,16,4.801,40,0.5,False,0.0584,228882.016,34931,3343,31564,0.0295,0.000435,3.93e-08,0.0299,0.0119,0.0165,8.52e-08,0.0284,35292,36354,4352,5414,34931,228882.016,0,0,0,48
1006,9,3,3.839,-1.041,-1.041,1024,2048,32,2.798,40,0.5,False,0.13,354282.2848,54077,5289,48740,0.0813,0.00223,5.96e-08,0.0835,0.0203,0.0261,1.29e-07,0.0463,54798,56628,7196,9026,54077,354282.2848,0,0,0,83
1007,10,5,3.839,0.959,0.959,1024,2048,32,4.798,40,0.5,False,0.079,354282.2848,54077,5289,48740,0.0488,0.00134,5.97e-08,0.0501,0.0126,0.0163,1.29e-07,0.0288,54798,56628,7196,9026,54077,354282.2848,0,0,0,84
1008,11,3,3.867,-1.071,-1.071,1024,2048,64,2.7960000000000003,40,0.5,False,0.196,603257.321599,91478,9097,82285,0.133,0.00176,1.04e-07,0.135,0.0255,0.035,2.22e-07,0.0605,92919,96285,12795,16161,91478,603257.321599,0,0,0,139
1009,12,5,4.091,0.694,0.694,1024,2048,64,4.785,40,0.5,False,0.117,603257.321599,91478,9097,82285,0.08,0.00105,1.04e-07,0.0811,0.0153,0.021,2.22e-07,0.0363,92919,96285,12795,16161,91478,603257.321599,0,0,0,136
101,13,5,4.142,0.64,0.64,4096,128,4,4.782,40,0.5,False,0.0369,126388.7168,18663,1866,16788,0.0173,0.000416,2.13e-08,0.0177,0.00816,0.011,4.63e-08,0.0192,18847,19333,2305,2791,18663,126388.7168,0,0,0,30
1010,14,3,4.043,-1.256,-1.256,1536,2048,4,2.787,40,0.5,False,0.0538,127639.9168,19466,1825,17634,0.0285,0.000792,2.04e-08,0.0293,0.0104,0.014,4.79e-08,0.0245,19588,20074,2192,2678,19466,127639.9168,0,0,0,31
1011,15,5,4.043,0.744,0.744,1536,2048,4,4.787,40,0.5,False,0.0345,127639.9168,19466,1825,17634,0.0171,0.000478,2.05e-08,0.0176,0.00717,0.00972,4.79e-08,0.0169,19588,20074,2192,2678,19466,127639.9168,0,0,0,32
1012,16,3,3.998,-1.208,-1.208,1536,2048,8,2.79,40,0.5,False,0.153,163416.7296,24887,2370,22503,0.0366,0.00103,2.84e-08,0.0376,0.0489,0.0666,6.02e-08,0.115,25130,25808,2995,3673,24887,163416.7296,0,0,0,39
1013,17,5,3.998,0.792,0.792,1536,2048,8,4.79,40,0.5,False,0.0909,163416.7296,24887,2370,22503,0.022,0.000617,2.83e-08,0.0226,0.029,0.0394,6.03e-08,0.0683,25130,25808,2995,3673,24887,163416.7296,0,0,0,39
1014,18,3,3.81,-1.01,-1.01,1536,2048,16,2.8,40,0.5,False,0.0781,228222.6336,34794,3345,31421,0.0494,0.00066,4.01e-08,0.05,0.011,0.017,8.3e-08,0.028,35279,36341,4484,5546,34794,228222.6336,0,0,0,48
1015,19,5,3.81,0.99,0.99,1536,2048,16,4.8,40,0.5,False,0.0861,228222.6336,34794,3345,31421,0.0299,0.000562,3.83e-08,0.0305,0.0236,0.032,8.39e-08,0.0556,35279,36341,4484,5546,34794,228222.6336,0,0,0,48
1016,20,3,3.839,-1.041,-1.041,1536,2048,32,2.798,40,0.5,False,0.133,355360.8192,54372,5289,49027,0.0776,0.00107,6.12e-08,0.0787,0.0225,0.0314,1.27e-07,0.054,55341,57171,7454,9284,54372,355360.8192,0,0,0,81
1017,21,5,3.839,0.959,0.959,1536,2048,32,4.798,40,0.5,False,0.081,355360.8192,54372,5289,49027,0.0466,0.000642,6.12e-08,0.0472,0.0141,0.0196,1.27e-07,0.0337,55341,57171,7454,9284,54372,355360.8192,0,0,0,80
1018,22,3,3.862,-1.065,-1.065,1536,2048,64,2.797,40,0.5,False,0.252,603221.036799,92164,9097,82955,0.137,0.00281,1.04e-07,0.139,0.0474,0.0654,2.12e-07,0.113,94101,97467,13310,16676,92164,603221.036799,0,0,0,142
1019,23,5,4.123,0.66,0.66,1536,2048,64,4.783,40,0.5,False,0.154,603221.036799,92164,9097,82955,0.082,0.00168,1.03e-07,0.0837,0.0294,0.0405,2.13e-07,0.0699,94101,97467,13310,16676,92164,603221.036799,0,0,0,141
102,24,3,4.049,-1.262,-1.262,4096,128,8,2.7870000000000004,40,0.5,False,0.159,164546.5632,24469,2446,22005,0.0376,0.000988,2.97e-08,0.0386,0.0515,0.0687,5.9e-08,0.12,24836,25514,3216,3894,24469,164546.5632,0,0,0,39
1020,25,3,4.164,-1.383,-1.383,2048,2048,4,2.7809999999999997,40,0.5,False,0.0563,127937.7024,19216,1825,17383,0.0285,0.000791,2.05e-08,0.0293,0.0116,0.0154,4.78e-08,0.027,19369,19855,2227,2713,19216,127937.7024,0,0,0,32
