Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,sram width,sram depth,Total Period (ns),ABC Max Fanout,ABC Map Effort,SYNTH_HIERARCHICAL,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
3,1.864,1.038,1.038,32,256,2.902,40,0.5,True,0.00596,174559.9808,136,32,104,0.000434,0.0,2.58e-10,0.000434,1.11e-05,1.91e-05,3.04e-10,3.02e-05,173,273,73,173,136,174559.9808,0,0,0,3
3,2.014,0.88,0.88,64,768,2.8939999999999997,40,0.5,True,0.0341,1045486.8384,818,64,754,0.000926,0.0,5.29e-10,0.000926,7.3e-05,0.000119,1.27e-09,0.000192,1133,1331,398,596,818,1045486.8384,0,0,0,5
3,2.045,0.848,0.848,64,1024,2.893,40,0.5,True,0.0451,1393383.1264,1094,64,1030,0.00091,0.0,5.25e-10,0.00091,6.37e-05,0.000181,2.18e-09,0.000245,1533,1731,528,726,1094,1393383.1264,0,0,0,7
3,2.055,0.837,0.837,64,1536,2.8920000000000003,40,0.5,True,0.0672,2089569.8304,1583,64,1519,0.000895,0.0,5.21e-10,0.000895,7.41e-05,0.000276,3.35e-09,0.00035,2270,2469,788,987,1583,2089569.8304,0,0,0,6
3,2.072,0.819,0.819,64,2048,2.891,40,0.5,True,0.0893,2785014.5728,1679,64,1615,0.000869,0.0,5.15e-10,0.000869,0.000107,0.000407,2.84e-09,0.000514,2614,2813,1048,1247,1679,2785014.5728,0,0,0,8
3,1.83,1.074,1.074,64,128,2.904,40,0.5,True,0.00638,175198.0928,198,64,134,0.000869,0.0,5.15e-10,0.000869,5.1e-06,9.47e-06,7.01e-10,1.46e-05,203,398,72,267,198,175198.0928,0,0,0,4
3,1.864,1.038,1.038,128,256,2.902,40,0.5,True,0.0238,698111.0496,537,128,409,0.00174,0.0,1.03e-09,0.00174,2.8e-05,7.59e-05,1.14e-09,0.000104,664,1052,265,653,537,698111.0496,0,0,0,4
3,1.922,0.977,0.977,128,512,2.899,40,0.5,True,0.0459,1393978.6976,832,128,704,0.00174,0.0,1.03e-09,0.00174,5.35e-05,0.000205,1.13e-09,0.000259,1207,1596,524,913,832,1393978.6976,0,0,0,5
3,2.013,0.881,0.881,128,768,2.894,40,0.5,True,0.0681,2090461.936,1617,128,1489,0.00185,0.0,1.06e-09,0.00185,0.000122,0.000217,2.43e-09,0.000339,2240,2630,782,1172,1617,2090461.936,0,0,0,6
3,2.046,0.846,0.846,128,1024,2.892,40,0.5,True,0.0902,2786686.176,2167,128,2039,0.00182,0.0,1.05e-09,0.00182,0.000131,0.000357,4.33e-09,0.000488,3038,3428,1040,1430,2167,2786686.176,0,0,0,7
3,2.451,0.42,0.42,128,1536,2.871,40,0.5,True,0.134,4178980.7584,3131,128,3003,0.00179,0.0,1.04e-09,0.00179,0.000146,0.000545,6.71e-09,0.000691,4498,4889,1556,1947,3131,4178980.7584,0,0,0,7
3,1.917,0.982,0.982,32,512,2.899,40,0.5,True,0.0115,348555.6704,213,32,181,0.000434,0.0,2.58e-10,0.000434,1.82e-05,5.46e-05,3.15e-10,7.27e-05,312,413,140,241,213,348555.6704,0,0,0,4
3,3.041,-0.201,-0.201,128,2048,2.84,40,0.5,True,0.178,5569372.2656,3326,128,3198,0.00174,0.0,1.03e-09,0.00174,0.000144,0.00079,5.45e-09,0.000934,5189,5580,2072,2463,3326,5569372.2656,0,0,0,11
3,1.83,1.074,1.074,128,128,2.904,40,0.5,True,0.0128,350397.4368,394,128,266,0.00174,0.0,1.03e-09,0.00174,1.14e-05,1.95e-05,1.4e-09,3.09e-05,397,784,136,523,394,350397.4368,0,0,0,2
3,1.869,1.033,1.033,256,256,2.902,40,0.5,True,0.0476,1396109.4912,1071,256,815,0.00347,0.0,2.06e-09,0.00347,4.31e-05,0.000148,2.24e-09,0.000192,1318,2090,521,1293,1071,1396109.4912,0,0,0,7
3,1.919,0.98,0.98,256,512,2.899,40,0.5,True,0.0919,2787907.3472,1655,256,1399,0.00347,0.0,2.06e-09,0.00347,0.000107,0.000407,2.22e-09,0.000513,2398,3171,1036,1809,1655,2787907.3472,0,0,0,9
3,2.451,0.42,0.42,256,768,2.871,40,0.5,True,0.136,4180769.9744,3210,256,2954,0.00371,0.0,2.12e-09,0.00371,0.000238,0.000425,4.79e-09,0.000663,4449,5223,1550,2324,3210,4180769.9744,0,0,0,11
3,3.041,-0.201,-0.201,256,1024,2.84,40,0.5,True,0.18,5573102.0928,4310,256,4054,0.00364,0.0,2.1e-09,0.00364,0.000233,0.000694,8.5e-09,0.000927,6045,6819,2064,2838,4310,5573102.0928,0,0,0,10
3,4.224,-1.446,-1.446,256,1536,2.7780000000000005,40,0.5,True,0.269,8357911.4688,6233,256,5977,0.00358,0.0,2.08e-09,0.00358,0.000308,0.00108,1.33e-08,0.00139,8960,9735,3092,3867,6233,8357911.4688,0,0,0,12
3,5.747,-3.049,-3.049,256,2048,2.698,40,0.5,True,0.357,11139136.1568,6627,256,6371,0.00347,0.0,2.06e-09,0.00347,0.000361,0.00159,1.1e-08,0.00195,10346,11121,4120,4895,6627,11139136.1568,0,0,0,18
3,1.831,1.073,1.073,256,128,2.904,40,0.5,True,0.0255,700776.1056,785,256,529,0.00347,0.0,2.06e-09,0.00347,2.11e-05,3.89e-05,2.78e-09,6e-05,784,1555,264,1035,785,700776.1056,0,0,0,3
3,2.01,0.885,0.885,32,768,2.8949999999999996,40,0.5,True,0.017,522734.0352,418,32,386,0.000463,0.0,2.65e-10,0.000463,3.69e-05,5.82e-05,6.63e-10,9.51e-05,579,681,206,308,418,522734.0352,0,0,0,4
3,2.042,0.851,0.851,32,1024,2.893,40,0.5,True,0.0226,696739.7344,558,32,526,0.000455,0.0,2.63e-10,0.000455,3.52e-05,9.12e-05,1.12e-09,0.000126,781,883,272,374,558,696739.7344,0,0,0,5
3,2.049,0.843,0.843,32,1536,2.892,40,0.5,True,0.0336,1045023.8944,807,32,775,0.000447,0.0,2.6e-10,0.000447,5.75e-05,0.000147,1.76e-09,0.000205,1154,1257,404,507,807,1045023.8944,0,0,0,4
3,2.072,0.819,0.819,32,2048,2.891,40,0.5,True,0.0446,1392611.136,856,32,824,0.000434,0.0,2.58e-10,0.000434,5.42e-05,0.000216,1.49e-09,0.00027,1327,1430,536,639,856,1392611.136,0,0,0,6
3,1.83,1.074,1.074,32,128,2.904,40,0.5,True,0.00319,87607.1792,100,32,68,0.000434,0.0,2.58e-10,0.000434,3.32e-06,4.48e-06,3.57e-10,7.8e-06,106,205,40,139,100,87607.1792,0,0,0,3
3,1.864,1.038,1.038,64,256,2.902,40,0.5,True,0.0119,349144.9856,270,64,206,0.000869,0.0,5.15e-10,0.000869,2.07e-05,4.17e-05,5.99e-10,6.24e-05,337,533,137,333,270,349144.9856,0,0,0,5
3,1.918,0.981,0.981,64,512,2.899,40,0.5,True,0.023,697017.5008,419,64,355,0.000869,0.0,5.15e-10,0.000869,2.83e-05,0.000105,5.81e-10,0.000133,610,807,268,465,419,697017.5008,0,0,0,4
