Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,sram width,sram depth,Total Period (ns),ABC Max Fanout,ABC Map Effort,SYNTH_HIERARCHICAL,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
3,1.925,0.974,0.974,32,256,2.899,40,0.5,True,0.00131,174514.9376,138,32,106,0.000435,0.0,2.59e-10,0.000435,1.58e-07,3.14e-07,3e-10,4.72e-07,175,275,75,175,138,174514.9376,0,0,0,4
3,1.906,0.994,0.994,64,1536,2.9,40,0.5,True,0.00471,2927.808,351,64,287,0.00087,0.0,5.19e-10,0.00087,4.38e-07,9.05e-07,5.54e-10,1.34e-06,480,679,205,404,351,2927.808,0,0,0,4
3,1.925,0.973,0.973,64,2048,2.898,40,0.5,True,0.00526,3448.3072,427,64,363,0.00087,0.0,5.19e-10,0.00087,4.8e-07,1.01e-06,5.65e-10,1.5e-06,618,817,271,470,427,3448.3072,0,0,0,4
3,1.83,1.074,1.074,64,128,2.904,40,0.5,True,0.00205,175218.112,199,64,135,0.00087,0.0,5.19e-10,0.00087,2.81e-07,6.62e-07,6.64e-10,9.44e-07,204,399,73,268,199,175218.112,0,0,0,2
3,1.925,0.974,0.974,128,256,2.899,40,0.5,True,0.00523,697879.5776,537,128,409,0.00174,0.0,1.04e-09,0.00174,5.04e-07,1.29e-06,1.15e-09,1.79e-06,664,1052,267,655,537,697879.5776,0,0,0,4
3,1.838,1.066,1.066,128,512,2.904,40,0.5,True,0.00721,3605.9584,395,128,267,0.00174,0.0,1.04e-09,0.00174,4.93e-07,1.33e-06,1.31e-09,1.83e-06,398,787,137,526,395,3605.9584,0,0,0,4
3,1.932,0.966,0.966,128,1024,2.8979999999999997,40,0.5,True,0.00831,4289.1136,537,128,409,0.00174,0.0,1.04e-09,0.00174,5.04e-07,1.29e-06,1.15e-09,1.79e-06,664,1054,267,657,537,4289.1136,0,0,0,4
3,1.909,0.99,0.99,128,1536,2.899,40,0.5,True,0.00941,5785.5488,693,128,565,0.00174,0.0,1.04e-09,0.00174,8.15e-07,1.79e-06,1.08e-09,2.6e-06,944,1335,397,788,693,5785.5488,0,0,0,4
3,1.927,0.971,0.971,128,2048,2.898,40,0.5,True,0.0105,6832.8032,840,128,712,0.00174,0.0,1.04e-09,0.00174,8.76e-07,1.99e-06,1.09e-09,2.87e-06,1215,1606,527,918,840,6832.8032,0,0,0,5
3,1.83,1.074,1.074,128,128,2.904,40,0.5,True,0.0041,350401.1904,395,128,267,0.00174,0.0,1.04e-09,0.00174,4.93e-07,1.33e-06,1.31e-09,1.83e-06,398,785,137,524,395,350401.1904,0,0,0,4
3,1.867,1.035,1.035,256,256,2.902,40,0.5,True,0.0105,1396099.4816,1074,256,818,0.00348,0.0,2.08e-09,0.00348,1.03e-06,3.1e-06,2.1e-09,4.13e-06,1321,2093,523,1295,1074,1396099.4816,0,0,0,4
3,1.838,1.066,1.066,32,512,2.904,40,0.5,True,0.0018,912.1248,101,32,69,0.000435,0.0,2.59e-10,0.000435,1.43e-07,3.21e-07,3.35e-10,4.64e-07,107,208,41,142,101,912.1248,0,0,0,3
3,1.838,1.065,1.065,256,512,2.903,40,0.5,True,0.0144,7189.3952,786,256,530,0.00348,0.0,2.08e-09,0.00348,9.4e-07,2.68e-06,2.6e-09,3.62e-06,785,1558,265,1038,786,7189.3952,0,0,0,4
3,1.875,1.027,1.027,256,1024,2.902,40,0.5,True,0.0166,8918.5536,1074,256,818,0.00348,0.0,2.08e-09,0.00348,1.03e-06,3.1e-06,2.1e-09,4.13e-06,1321,2095,523,1297,1074,8918.5536,0,0,0,4
3,1.909,0.991,0.991,256,1536,2.9,40,0.5,True,0.0188,11493.5232,1374,256,1118,0.00348,0.0,2.08e-09,0.00348,1.49e-06,3.52e-06,2.14e-09,5.02e-06,1869,2644,781,1556,1374,11493.5232,0,0,0,6
3,1.928,0.971,0.971,256,2048,2.899,40,0.5,True,0.021,13568.0128,1663,256,1407,0.00348,0.0,2.08e-09,0.00348,1.69e-06,3.93e-06,2.12e-09,5.62e-06,2406,3181,1039,1814,1663,13568.0128,0,0,0,8
3,1.831,1.073,1.073,256,128,2.904,40,0.5,True,0.0082,700779.8592,786,256,530,0.00348,0.0,2.08e-09,0.00348,9.4e-07,2.68e-06,2.6e-09,3.62e-06,785,1556,265,1036,786,700779.8592,0,0,0,4
3,1.932,0.966,0.966,32,1024,2.8979999999999997,40,0.5,True,0.00208,1117.3216,138,32,106,0.000435,0.0,2.59e-10,0.000435,1.58e-07,3.14e-07,3e-10,4.72e-07,175,277,75,177,138,1117.3216,0,0,0,4
3,1.906,0.994,0.994,32,1536,2.9,40,0.5,True,0.00235,1486.4256,181,32,149,0.000435,0.0,2.59e-10,0.000435,2.63e-07,4.69e-07,2.86e-10,7.33e-07,249,352,109,212,181,1486.4256,0,0,0,4
3,1.925,0.974,0.974,32,2048,2.899,40,0.5,True,0.00263,1771.6992,221,32,189,0.000435,0.0,2.59e-10,0.000435,2.81e-07,5.29e-07,3.01e-10,8.11e-07,320,423,143,246,221,1771.6992,0,0,0,4
3,1.83,1.074,1.074,32,128,2.904,40,0.5,True,0.00102,87610.9328,101,32,69,0.000435,0.0,2.59e-10,0.000435,1.43e-07,3.21e-07,3.35e-10,4.64e-07,107,206,41,140,101,87610.9328,0,0,0,4
