Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Number of Heads,Number of Columns,Max Context Length,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1,0,6.0,4.973,0.765,0.765,6,1,16,32,5.7379999999999995,N/A,N/A,1.88,6387305.932801,901060,157812,743248,1.24,0.0525,1.3e-06,1.29,0.27,0.318,1.25e-06,0.588,900623,901866,157731,158974,901060,6387305.932801,0,0,0,1030
1,1,5.0,4.887,-0.144,-0.144,7,4,40,16,4.742999999999999,N/A,N/A,8.16,21031349.482032,2988891,507492,2481399,4.8,0.215,4.23e-06,5.01,1.41,1.73,4.39e-06,3.14,2988380,2990341,507756,509717,2988891,21031349.482032,0,0,0,3417
10,0,5.0,4.908,-0.167,-0.167,5,4,56,16,4.7410000000000005,N/A,N/A,5.93,15250998.166996,2166505,367628,1798877,3.5,0.163,3.06e-06,3.67,1.02,1.24,3.2e-06,2.26,2166132,2167577,367828,369273,2166505,15250998.166996,0,0,0,2409
11,0,6.0,4.997,0.74,0.74,10,2,16,16,5.737,N/A,N/A,4.9,14798880.800567,2107989,354908,1753081,2.85,0.138,2.96e-06,2.99,0.855,1.05,3.14e-06,1.9,2107485,2109292,355028,356835,2107989,14798880.800567,0,0,0,2347
11,1,5.0,4.174,0.606,0.606,2,1,56,16,4.78,N/A,N/A,0.594,1512865.958401,213273,36830,176443,0.347,0.0159,3.06e-07,0.363,0.102,0.129,3.07e-07,0.231,213212,213523,36861,37172,213273,1512865.958401,0,0,0,224
12,0,6.0,5.055,0.679,0.679,8,4,40,32,5.734,N/A,N/A,10.0,34933574.067044,4928469,865648,4062821,6.68,0.249,7.18e-06,6.93,1.4,1.68,6.8e-06,3.08,4927569,4930428,865816,868675,4928469,34933574.067044,0,0,0,5886
12,1,5.0,4.939,-0.199,-0.199,3,16,64,16,4.74,N/A,N/A,14.2,36700268.466976,5219577,888240,4331337,8.39,0.381,7.41e-06,8.77,2.45,2.97,7.53e-06,5.42,5218814,5221699,888808,891693,5219577,36700268.466976,0,0,0,6160
13,0,6.0,5.013,0.723,0.723,8,1,64,32,5.736,N/A,N/A,2.58,8968192.457661,1262299,222688,1039611,1.71,0.0639,1.83e-06,1.77,0.368,0.44,1.76e-06,0.808,1261714,1263343,222567,224196,1262299,8968192.457661,0,0,0,1409
14,0,6.0,5.131,0.599,0.599,5,8,40,32,5.73,N/A,N/A,12.3,43620351.624561,6154855,1081968,5072887,8.32,0.31,8.97e-06,8.63,1.71,2.08,8.4e-06,3.79,6153946,6156963,1082328,1085345,6154855,43620351.624561,0,0,0,7307
15,0,6.0,5.03,0.705,0.705,10,4,32,16,5.735,N/A,N/A,9.51,29843601.129703,4245977,719848,3526129,5.61,0.23,6e-06,5.84,1.64,2.04,6.2e-06,3.68,4245259,4247994,720208,722943,4245977,29843601.129703,0,0,0,4850
16,0,6.0,5.21,0.516,0.516,12,4,8,32,5.726,N/A,N/A,14.3,50514045.723264,7135701,1249296,5886405,9.57,0.354,1.04e-05,9.92,2.02,2.44,9.72e-06,4.47,7134397,7138544,1249528,1253675,7135701,50514045.723264,0,0,0,8508
17,0,5.0,4.075,0.711,0.711,1,1,64,32,4.7860000000000005,N/A,N/A,0.381,1109955.785599,154839,27878,126961,0.255,0.0091,2.3e-07,0.264,0.0524,0.0651,2.05e-07,0.117,154772,155050,27887,28165,154839,1109955.785599,0,0,0,160
2,0,5.0,4.888,-0.145,-0.145,9,2,40,16,4.743,N/A,N/A,5.31,13572987.571671,1929867,326334,1603533,3.11,0.142,2.71e-06,3.25,0.927,1.14,2.84e-06,2.06,1929414,1931049,326446,328081,1929867,13572987.571671,0,0,0,2179
2,1,5.0,4.396,0.373,0.373,5,1,32,16,4.769,N/A,N/A,1.43,3731294.857595,530515,90083,440432,0.843,0.0366,7.48e-07,0.879,0.245,0.306,7.74e-07,0.552,530328,531026,90102,90800,530515,3731294.857595,0,0,0,569
3,0,5.0,5.16,-0.432,-0.432,3,8,40,32,4.728,N/A,N/A,9.02,26201017.60344,3694713,649200,3045513,6.02,0.234,5.38e-06,6.25,1.27,1.5,5.07e-06,2.76,3694078,3696107,649433,651462,3694713,26201017.60344,0,0,0,4320
3,1,5.0,4.279,0.495,0.495,1,2,64,32,4.774,N/A,N/A,0.782,2239504.112002,314677,55692,258985,0.516,0.0196,4.59e-07,0.535,0.112,0.135,4.35e-07,0.247,314568,314955,55723,56110,314677,2239504.112002,0,0,0,346
4,0,6.0,5.041,0.693,0.693,12,1,32,32,5.734,N/A,N/A,3.84,13042278.579613,1841692,321720,1519972,2.51,0.101,2.66e-06,2.61,0.558,0.663,2.58e-06,1.22,1840811,1843212,321519,323920,1841692,13042278.579613,0,0,0,2106
5,0,5.0,4.85,-0.105,-0.105,10,2,8,16,4.744999999999999,N/A,N/A,5.77,14696979.318958,2093244,352348,1740896,3.36,0.153,2.93e-06,3.51,1.02,1.24,3.14e-06,2.26,2092740,2094547,352468,354275,2093244,14696979.318958,0,0,0,2302
6,0,5.0,4.405,0.363,0.363,5,2,64,16,4.768000000000001,N/A,N/A,2.96,7658176.04801,1089404,185158,904246,1.74,0.0755,1.53e-06,1.81,0.511,0.643,1.62e-06,1.15,1089155,1090102,185238,186185,1089404,7658176.04801,0,0,0,1194
7,0,5.0,4.343,0.429,0.429,1,1,56,32,4.772,N/A,N/A,0.369,1099025.302399,153217,27622,125595,0.253,0.00928,2.28e-07,0.263,0.0483,0.0584,2.02e-07,0.107,153150,153428,27631,27909,153217,1099025.302399,0,0,0,157
8,0,5.0,4.279,0.496,0.496,3,2,24,16,4.775,N/A,N/A,1.75,4455071.516797,633646,107274,526372,1.01,0.0453,8.9e-07,1.06,0.309,0.384,9.3e-07,0.693,633499,634102,107338,107941,633646,4455071.516797,0,0,0,684
8,1,5.0,4.178,0.602,0.602,3,1,56,16,4.78,N/A,N/A,0.89,2267196.921602,319861,55221,264640,0.516,0.0224,4.58e-07,0.539,0.155,0.196,4.63e-07,0.351,319758,320198,55248,55688,319861,2267196.921602,0,0,0,337
9,0,5.0,4.823,-0.077,-0.077,1,8,24,32,4.746,N/A,N/A,2.95,8548552.48962,1203211,212336,990875,1.95,0.0729,1.75e-06,2.03,0.422,0.504,1.64e-06,0.926,1202850,1203891,212439,213480,1203211,8548552.48962,0,0,0,1342
