Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,Number of Heads,Number of Columns,Max Context Length,Gbus width,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
1,0,5.0,4.498,0.265,0.265,7,4,32,16,4.763,N/A,N/A,8.22,20998258.995624,2995253,503908,2491345,4.77,0.212,4.2e-06,4.98,1.43,1.8,4.47e-06,3.23,2994742,2996703,504172,506133,2995253,20998258.995624,0,0,0,3493
1,1,5.0,4.999,-0.262,-0.262,10,4,24,16,4.737,N/A,N/A,11.4,29653165.987314,4222421,714728,3507693,6.68,0.281,5.96e-06,6.97,1.98,2.44,6.18e-06,4.41,4221703,4224438,715088,717823,4222421,29653165.987314,0,0,0,4940
1,2,6.0,4.63,1.127,1.127,12,1,16,16,5.757,N/A,N/A,2.9,8888093.136073,1267293,213060,1054233,1.71,0.0874,1.77e-06,1.79,0.496,0.605,1.84e-06,1.1,1266812,1268413,213051,214652,1267293,8888093.136073,0,0,0,1443
2,0,5.0,4.844,-0.099,-0.099,3,8,56,16,4.745,N/A,N/A,7.11,18319338.448571,2605382,441096,2164286,4.19,0.193,3.67e-06,4.39,1.23,1.49,3.85e-06,2.71,2604971,2606552,441376,442957,2605382,18319338.448571,0,0,0,3049
2,1,5.0,4.798,-0.05,-0.05,9,1,56,32,4.748,N/A,N/A,3.52,10034402.537757,1415433,248214,1167219,2.31,0.0901,2.05e-06,2.4,0.51,0.609,1.99e-06,1.12,1414774,1416596,248073,249895,1415433,10034402.537757,0,0,0,1638
2,2,5.0,4.573,0.187,0.187,5,4,64,32,4.760000000000001,N/A,N/A,7.75,22475498.285219,3170858,556408,2614450,5.16,0.201,4.61e-06,5.36,1.09,1.29,4.41e-06,2.38,3170261,3172154,556528,558421,3170858,22475498.285219,0,0,0,3778
2,3,5.0,3.978,0.813,0.813,1,1,8,16,4.791,N/A,N/A,0.276,732905.414399,104300,17671,86629,0.161,0.00578,1.47e-07,0.166,0.0476,0.0617,1.54e-07,0.109,104281,104463,17696,17878,104300,732905.414399,0,0,0,104
2,4,6.0,5.126,0.605,0.605,7,2,32,16,5.731,N/A,N/A,3.34,10468618.985804,1486442,252034,1234408,1.98,0.0907,2.09e-06,2.07,0.567,0.695,2.15e-06,1.26,1486091,1487382,252130,253421,1486442,10468618.985804,0,0,0,1666
3,1,6.0,5.132,0.598,0.598,8,2,16,16,5.7299999999999995,N/A,N/A,3.89,11840189.430724,1687031,283936,1403095,2.27,0.107,2.36e-06,2.38,0.677,0.831,2.51e-06,1.51,1686629,1688092,284040,285503,1687031,11840189.430724,0,0,0,1944
3,4,5.0,4.921,-0.18,-0.18,7,4,32,32,4.7410000000000005,N/A,N/A,10.5,30327118.611317,4281796,750280,3531516,6.94,0.262,6.22e-06,7.2,1.5,1.79,5.9e-06,3.28,4280997,4283534,750432,752969,4281796,30327118.611317,0,0,0,5115
3,5,5.0,4.84,-0.094,-0.094,4,8,48,32,4.7459999999999996,N/A,N/A,12.1,35259386.547019,4976311,873776,4102535,8.06,0.304,7.25e-06,8.37,1.7,2.02,6.83e-06,3.73,4975539,4978062,874072,876595,4976311,35259386.547019,0,0,0,5951
